Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T30IB905SP,470,19.4,No,24.226804123711343,5I-BI,19.4,470.0,T30IB905SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T30IR900SP,289,16.8,No,17.202380952380953,3A-BI,16.8,289.0,T30IR900SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T30IR901SP,289,16.8,No,17.202380952380953,3A-BI,16.8,289.0,T30IR901SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T30IR902SP,289,16.8,No,17.202380952380953,3A-BI,16.8,289.0,T30IR902SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T30IR905SP,279,16.8,No,16.607142857142858,3A-BI,16.8,279.0,T30IR905SP
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36FT810N*,570,25.2,No,22.61904761904762,5I,25.2,570.0,T36FT810N.
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36FT820N*,570,25.2,No,22.61904761904762,5I,25.2,570.0,T36FT820N.
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IB900SP,531,23.8,No,22.310924369747898,5I-BI,23.8,531.0,T36IB900SP
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IB902SP,531,23.8,No,22.310924369747898,5I-BI,23.8,531.0,T36IB902SP
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IB905SP,504,23.8,No,21.176470588235293,5I-BI,23.8,504.0,T36IB905SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T36IR900SP,313,20.6,No,15.194174757281552,3A-BI,20.6,313.0,T36IR900SP
3A-BI - Built-In All-Refrigerators - automatic defrost,T36IR905SP,312,20.6,No,15.145631067961164,3A-BI,20.6,312.0,T36IR905SP
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT348FME*0*,455,22.1,No,20.588235294117645,3I,22.1,455.0,WRT348FME.0.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WRT541SZD*0*,399,26.0,No,15.346153846153847,3,26.0,399.0,WRT541SZD.0.
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT541SZD*0*,483,26.0,No,18.576923076923077,3I,26.0,483.0,WRT541SZD.0.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WRT541SZH*0*,399,26.0,No,15.346153846153847,3,26.0,399.0,WRT541SZH.0.
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT541SZH*0*,483,26.0,No,18.576923076923077,3I,26.0,483.0,WRT541SZH.0.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WRT549SZD*,378,23.1,No,16.363636363636363,3,23.1,378.0,WRT549SZD.
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT549SZD*,462,23.1,No,20.0,3I,23.1,462.0,WRT549SZD.
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,WRX735SDH*,683,29.6,No,23.074324324324323,5A,29.6,683.0,WRX735SDH.
11A - Compact All-Refrigerator - manual defrost,WRD01W3MMW,207,1.6,Yes,129.375,11A,1.6,207.0,WRD01W3MMW
13A - Compact All-Refrigerators - automatic defrost,BOR-326FS,239,3.1,Yes,77.09677419354838,13A,3.1,239.0,BOR-326FS
13A - Compact All-Refrigerators - automatic defrost,BOR-326FS,256,3.0,Yes,85.33333333333333,13A,3.0,256.0,BOR-326FS
13A - Compact All-Refrigerators - automatic defrost,BOR-53024-SSW,235,5.3,Yes,44.339622641509436,13A,5.3,235.0,BOR-53024-SSW
13A - Compact All-Refrigerators - automatic defrost,BOR-53024-SSW,276,5.2,Yes,53.07692307692307,13A,5.2,276.0,BOR-53024-SSW
11A - Compact All-Refrigerator - manual defrost,MRF-161   ,207,1.6,Yes,129.375,11A,1.6,207.0,MRF-161   
12 - Compact Refrigerator-Freezer - partial automatic defrost,MRF-310DBa,270,3.8,Yes,71.05263157894737,12,3.8,270.0,MRF-310DBa
12 - Compact Refrigerator-Freezer - partial automatic defrost,MRF-340DS,260,4.1,Yes,63.41463414634147,12,4.1,260.0,MRF-340DS
12 - Compact Refrigerator-Freezer - partial automatic defrost,7716231,320,3.1,Yes,103.2258064516129,12,3.1,320.0,7716231
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,W*BF*30A*E#,738,36.2,No,20.386740331491712,5A,36.2,738.0,W.BF.30A.E.
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,W*BH*31A*E#,748,37.4,No,20.0,5A,37.4,748.0,W.BH.31A.E.
11A - Compact All-Refrigerator - manual defrost,WFR028RCN*,217,2.8,Yes,77.5,11A,2.8,217.0,WFR028RCN.
11A - Compact All-Refrigerator - manual defrost,WFR044RCN*,228,4.4,Yes,51.81818181818181,11A,4.4,228.0,WFR044RCN.
11A - Compact All-Refrigerator - manual defrost,WFR044RCN**,228,4.4,Yes,51.81818181818181,11A,4.4,228.0,WFR044RCN..
3A - All-Refrigerators - automatic defrost,W*FU021***#,314,20.9,No,15.023923444976077,3A,20.9,314.0,W.FU021....
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF22A4111**,585,27.4,No,21.35036496350365,5I,27.4,585.0,RF22A4111..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF22A4121**,585,27.4,No,21.35036496350365,5I,27.4,585.0,RF22A4121..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF22A4221**,585,27.3,No,21.428571428571427,5I,27.3,585.0,RF22A4221..
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,RF22K9381**,709,28.8,No,24.618055555555554,5A,28.8,709.0,RF22K9381..
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,RF22R7351**,690,27.3,No,25.274725274725274,5A,27.3,690.0,RF22R7351..
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,RF22R7551**,690,27.1,No,25.461254612546124,5A,27.1,690.0,RF22R7551..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23A9071**,635,29.6,No,21.4527027027027,5I,29.6,635.0,RF23A9071..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23A9671**,634,29.5,No,21.491525423728813,5I,29.5,634.0,RF23A9671..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23A9675**,634,29.5,No,21.491525423728813,5I,29.5,634.0,RF23A9675..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23A9771**,631,29.2,No,21.60958904109589,5I,29.2,631.0,RF23A9771..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23B7671**,635,29.7,No,21.38047138047138,5I,29.7,635.0,RF23B7671..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23BB8200**,621,28.1,No,22.099644128113876,5I,28.1,621.0,RF23BB8200..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23BB8600**,621,28.0,No,22.178571428571427,5I,28.0,621.0,RF23BB8600..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23BB8900**,618,27.7,No,22.310469314079423,5I,27.7,618.0,RF23BB8900..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23CB9900**,631,29.2,No,21.60958904109589,5I,29.2,631.0,RF23CB9900..
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,RF23M8070**,633,27.6,No,22.934782608695652,5A,27.6,633.0,RF23M8070..
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IT900NP,585,23.6,No,24.78813559322034,5I-BI,23.6,585.0,T36IT900NP
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IT901NP,585,23.6,No,24.78813559322034,5I-BI,23.6,585.0,T36IT901NP
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IT902NP,585,23.6,No,24.78813559322034,5I-BI,23.6,585.0,T36IT902NP
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T36IT905NP,579,23.6,No,24.533898305084744,5I-BI,23.6,579.0,T36IT905NP
11A - Compact All-Refrigerator - manual defrost,TFR441,218,4.5,Yes,48.44444444444444,11A,4.5,218.0,TFR441
11A - Compact All-Refrigerator - manual defrost,TFR441,204,4.6,Yes,44.34782608695652,11A,4.6,204.0,TFR441
11A - Compact All-Refrigerator - manual defrost,TFR441-B-BLACK,204,4.6,Yes,44.34782608695652,11A,4.6,204.0,TFR441-B-BLACK
11A - Compact All-Refrigerator - manual defrost,TFR441-BLACK,204,4.6,Yes,44.34782608695652,11A,4.6,204.0,TFR441-BLACK
11A - Compact All-Refrigerator - manual defrost,TFR441-B-WHITE,204,4.6,Yes,44.34782608695652,11A,4.6,204.0,TFR441-B-WHITE
11A - Compact All-Refrigerator - manual defrost,TFR441-D,204,4.6,Yes,44.34782608695652,11A,4.6,204.0,TFR441-D
11A - Compact All-Refrigerator - manual defrost,TFR441-WHITE,204,4.6,Yes,44.34782608695652,11A,4.6,204.0,TFR441-WHITE
12 - Compact Refrigerator-Freezer - partial automatic defrost,TFR834-C,322,3.8,Yes,84.73684210526316,12,3.8,322.0,TFR834-C
