Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
11A - Compact All-Refrigerator - manual defrost,ARM024S1ARSV,213,2.4,Yes,88.75,11A,2.4,213.0,ARM024S1ARSV
11A - Compact All-Refrigerator - manual defrost,ARM024S1ARWW,213,2.4,Yes,88.75,11A,2.4,213.0,ARM024S1ARWW
11A - Compact All-Refrigerator - manual defrost,ARM044S1ARSV,226,4.4,Yes,51.36363636363636,11A,4.4,226.0,ARM044S1ARSV
13A - Compact All-Refrigerators - automatic defrost,ARM17A5ABB,246,1.7,Yes,144.7058823529412,13A,1.7,246.0,ARM17A5ABB
11A - Compact All-Refrigerator - manual defrost,ARM24S4AWW,213,2.4,Yes,88.75,11A,2.4,213.0,ARM24S4AWW
12 - Compact Refrigerator-Freezer - partial automatic defrost,ARM320D1ARSV,270,3.8,Yes,71.05263157894737,12,3.8,270.0,ARM320D1ARSV
12 - Compact Refrigerator-Freezer - partial automatic defrost,ARM32D5ABB,270,3.8,Yes,71.05263157894737,12,3.8,270.0,ARM32D5ABB
12 - Compact Refrigerator-Freezer - partial automatic defrost,ARM32D5ASL,270,3.8,Yes,71.05263157894737,12,3.8,270.0,ARM32D5ASL
11A - Compact All-Refrigerator - manual defrost,ARM33S5ABB,220,3.3,Yes,66.66666666666667,11A,3.3,220.0,ARM33S5ABB
11A - Compact All-Refrigerator - manual defrost,ARM33S5ASL,220,3.3,Yes,66.66666666666667,11A,3.3,220.0,ARM33S5ASL
13A - Compact All-Refrigerators - automatic defrost,ARM44A5ASL,269,4.4,Yes,61.13636363636363,13A,4.4,269.0,ARM44A5ASL
11A - Compact All-Refrigerator - manual defrost,ARM44S5ABB,226,4.4,Yes,51.36363636363636,11A,4.4,226.0,ARM44S5ABB
11A - Compact All-Refrigerator - manual defrost,ARU33B1ABB,220,3.3,Yes,66.66666666666667,11A,3.3,220.0,ARU33B1ABB
