Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
9w320-06,WRT112CZJ***,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0,doe,13.8,345.0,WRT112CZJ...,False
4w3n42-25,WRT314TFD*0*,373.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.560693641618496,doe,17.3,373.0,WRT314TFD.0.,False
4w3in42-25,WRT314TFD*0*,457.0,17.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.416184971098264,doe,17.3,457.0,WRT314TFD.0.,False
ENX52,ENX52,210.0,2.0,(11A.) Compact all-refrigerators - manual defrost,105.0,doe,2.0,210.0,ENX52,False
ENX62,ENX62,208.0,2.3,(11A.) Compact all-refrigerators - manual defrost,90.43478260869566,doe,2.3,208.0,ENX62,False
HBF3200-BLACK,"HBF3200-RED,HBF3200-CORAL,HBF3200-BLUE,HBF3200-WHITE,HBF3200-MOONBM,HBF3200-CREAM,HBF3210-BLACK,HBF3210-WHITE,HBF3210-CORAL,HBF3210-MOONBM,HBF3210-CORAL,HBF3210-BLUE,HBF3210-CREAM",218.0,3.2,(11A.) Compact all-refrigerators - manual defrost,68.125,doe,3.2,218.0,"HBF3200-RED,HBF3200-CORAL,HBF3200-BLUE,HBF3200-WHITE,HBF3200-MOONBM,HBF3200-CREAM,HBF3210-BLACK,HBF3210-WHITE,HBF3210-CORAL,HBF3210-MOONBM,HBF3210-CORAL,HBF3210-BLUE,HBF3210-CREAM",False
7w7p41-18,WRS315SD**0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285,doe,31.5,702.0,WRS315SD..0.,False
7w7p41-18,5004*71*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285,doe,31.5,702.0,5004.71.,False
7w7p41-18,ASI2575G**0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285,doe,31.5,702.0,ASI2575G..0.,False
E-G45,E-G45,186.0,1.7,(11A.) Compact all-refrigerators - manual defrost,109.41176470588236,doe,1.7,186.0,E-G45,False
TW75,TW75,210.0,2.6,(11A.) Compact all-refrigerators - manual defrost,80.76923076923076,doe,2.6,210.0,TW75,False
TW95,TW95,215.0,3.2,(11A.) Compact all-refrigerators - manual defrost,67.1875,doe,3.2,215.0,TW95,False
TWW95,TWW95,224.0,3.2,(11A.) Compact all-refrigerators - manual defrost,70.0,doe,3.2,224.0,TWW95,False
153(x),153 TTR1047WH,228.0,4.8,(13A.) Compact all-refrigerators - automatic defrost,47.5,doe,4.8,228.0,153 TTR1047WH,False
2451(x),2451 DUF1650WH,256.0,11.6,(16.) Compact upright freezers with manual defrost,22.06896551724138,doe,11.6,256.0,2451 DUF1650WH,False
BCD-127-E,EF-45330-MC-B,330.0,5.5,(12.) Compact refrigerator-freezers - partial automatic defrost,60.0,doe,5.5,330.0,EF-45330-MC-B,False
BC-128C-E,CREF 45 SS,252.0,4.4,(11A.) Compact all-refrigerators - manual defrost,57.272727272727266,doe,4.4,252.0,CREF 45 SS,False
G45,G45,189.0,1.8,(11A.) Compact all-refrigerators - manual defrost,105.0,doe,1.8,189.0,G45,False
BD110,BD110,206.0,3.6,(11A.) Compact all-refrigerators - manual defrost,57.22222222222222,doe,3.6,206.0,BD110,False
G135D,G135D,242.0,4.5,(11A.) Compact all-refrigerators - manual defrost,53.77777777777778,doe,4.5,242.0,G135D,False
E45,E45,186.0,1.7,(11A.) Compact all-refrigerators - manual defrost,109.41176470588236,doe,1.7,186.0,E45,False
HC-969WE(UR-BCD745WZ-DT),MRS26D7AWW,715.0,33.6,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.279761904761905,doe,33.6,715.0,MRS26D7AWW,False
HC-969WE(UR-BCD745WZ-DT),MRS26D7ABB,715.0,33.6,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.279761904761905,doe,33.6,715.0,MRS26D7ABB,False
HCCFESS70,HCCFESS70**********,250.0,12.3,(18.) Compact chest freezers,20.32520325203252,doe,12.3,250.0,HCCFESS70..........,False
TA55,TA55,200.0,1.9,(11A.) Compact all-refrigerators - manual defrost,105.26315789473685,doe,1.9,200.0,TA55,False
TS50,TS50,140.0,1.8,(11A.) Compact all-refrigerators - manual defrost,77.77777777777777,doe,1.8,140.0,TS50,False
HBFR7500,"HBFR7500,HBFR727,HBFR7500-BLACK,HBFR7500-RED,HBFR7500-WHITE,HBFR725",380.0,8.8,(12.) Compact refrigerator-freezers - partial automatic defrost,43.18181818181818,doe,8.8,380.0,"HBFR7500,HBFR727,HBFR7500-BLACK,HBFR7500-RED,HBFR7500-WHITE,HBFR725",False
WMS053M6XVE,LMS053M6RVE,273.0,5.7,(11.) Compact refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,47.89473684210526,doe,5.7,273.0,LMS053M6RVE,False
4w9G60-24,AZF33X16D*,466.0,27.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.884057971014492,doe,27.6,466.0,AZF33X16D.,False
4w9G60-24,MZF34X16D*,466.0,27.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.884057971014492,doe,27.6,466.0,MZF34X16D.,False
BC-47/HC1(H),RC16A1GBE,246.0,1.6,(13A.) Compact all-refrigerators - automatic defrost,153.75,doe,1.6,246.0,RC16A1GBE,False
BC-47/HC1(H),RC16A1G*E,246.0,1.6,(13A.) Compact all-refrigerators - automatic defrost,153.75,doe,1.6,246.0,RC16A1G.E,False
BC-94DJ1NA1/HC1(Q),5131223,260.0,3.3,(13A.) Compact all-refrigerators - automatic defrost,78.7878787878788,doe,3.3,260.0,5131223,False
