Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,KR180TF,452,15.3,No,29.542483660130717,9I-BI,15.3,452.0,KR180TF
9 - Upright freezers with automatic defrost without an automatic ice maker,LRU14F3ASTC,394,24.4,No,16.147540983606557,9,24.4,394.0,LRU14F3ASTC
9 - Upright freezers with automatic defrost without an automatic ice maker,LRU14F3AWWC,394,24.4,No,16.147540983606557,9,24.4,394.0,LRU14F3AWWC
9 - Upright freezers with automatic defrost without an automatic ice maker,LROFC1104*,321,20.1,No,15.970149253731343,9,20.1,321.0,LROFC1104.
9 - Upright freezers with automatic defrost without an automatic ice maker,LROFC1114*,313,20.1,No,15.572139303482587,9,20.1,313.0,LROFC1114.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,MF1851,412,13.7,No,30.07299270072993,9I-BI,13.7,412.0,MF1851
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,MF2451,438,20.2,No,21.683168316831683,9I-BI,20.2,438.0,MF2451
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,MF3051,528,26.8,No,19.70149253731343,9I-BI,26.8,528.0,MF3051
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,MF3651,585,33.3,No,17.56756756756757,9I-BI,33.3,585.0,MF3651
9I - Upright freezers with automatic defrost with automatic icemaker,SF5291,350,17.3,No,20.23121387283237,9I,17.3,350.0,SF5291
9 - Upright freezers with automatic defrost without an automatic ice maker,HS-507FWE,394,24.3,No,16.213991769547324,9,24.3,394.0,HS-507FWE
9 - Upright freezers with automatic defrost without an automatic ice maker,MDRU507FGF01PRR,394,24.3,No,16.213991769547324,9,24.3,394.0,MDRU507FGF01PRR
9 - Upright freezers with automatic defrost without an automatic ice maker,MRU14B3ASL,394,24.3,No,16.213991769547324,9,24.3,394.0,MRU14B3ASL
9 - Upright freezers with automatic defrost without an automatic ice maker,MRU17F6AWW*,438,29.9,No,14.648829431438127,9,29.9,438.0,MRU17F6AWW.
9 - Upright freezers with automatic defrost without an automatic ice maker,MU138SWAR1RC1,394,24.3,No,16.213991769547324,9,24.3,394.0,MU138SWAR1RC1
9 - Upright freezers with automatic defrost without an automatic ice maker,MU210CWBR1RC1,492,37.0,No,13.297297297297296,9,37.0,492.0,MU210CWBR1RC1
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-507FWEB1,394,24.3,No,16.213991769547324,9,24.3,394.0,WHS-507FWEB1
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-507FWESS1,394,24.2,No,16.280991735537192,9,24.2,394.0,WHS-507FWESS1
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-507FWESS1,394,24.3,No,16.213991769547324,9,24.3,394.0,WHS-507FWESS1
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-507FWEW1,394,24.3,No,16.213991769547324,9,24.3,394.0,WHS-507FWEW1
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-507FWEW1,394,24.2,No,16.280991735537192,9,24.2,394.0,WHS-507FWEW1
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-625FWESS1*,438,29.9,No,14.648829431438127,9,29.9,438.0,WHS-625FWESS1.
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-625FWEW1,438,29.6,No,14.797297297297296,9,29.6,438.0,WHS-625FWEW1
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-625FWEW1*,438,29.9,No,14.648829431438127,9,29.9,438.0,WHS-625FWEW1.
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-772FWESS1*,492,36.9,No,13.333333333333334,9,36.9,492.0,WHS-772FWESS1.
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-772FWEW1,492,37.0,No,13.297297297297296,9,37.0,492.0,WHS-772FWEW1
9 - Upright freezers with automatic defrost without an automatic ice maker,WHS-772FWEW1*,492,36.9,No,13.333333333333334,9,36.9,492.0,WHS-772FWEW1.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2411 SF,418,15.1,No,27.682119205298015,9I-BI,15.1,418.0,F 2411 SF
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2411 Vi,418,15.1,No,27.682119205298015,9I-BI,15.1,418.0,F 2411 Vi
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,F 2412 Vi,404,15.1,No,26.75496688741722,9I-BI,15.1,404.0,F 2412 Vi
