Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
DCFM110B1*,DCFM110B1WDB,245.0,19.4,(10.) Chest freezers and all other freezers except compact freezers,12.628865979381445,doe,19.4,245.0,DCFM110B1WDB,False
DCFM090C1*,DCFM090C1WM,219.0,15.8,(10.) Chest freezers and all other freezers except compact freezers,13.860759493670885,doe,15.8,219.0,DCFM090C1WM,False
DCF072A4*,DCF072A4WP,252.0,12.7,(18.) Compact chest freezers,19.84251968503937,doe,12.7,252.0,DCF072A4WP,False
DCF072A3BDB,DCF072A3BDB,252.0,12.7,(18.) Compact chest freezers,19.84251968503937,doe,12.7,252.0,DCF072A3BDB,False
DCF072A2*,DCF072A2XWDB1,252.0,12.7,(18.) Compact chest freezers,19.84251968503937,doe,12.7,252.0,DCF072A2XWDB1,False
DCF055A2WDB-3,DCF055A2WDB-3,224.0,9.7,(18.) Compact chest freezers,23.092783505154642,doe,9.7,224.0,DCF055A2WDB-3,False
DCF055A2WDB,DCF055A2WDB,224.0,9.7,(18.) Compact chest freezers,23.092783505154642,doe,9.7,224.0,DCF055A2WDB,False
DCF038A2WDB-3,DCF038A2WDB-3,197.0,6.7,(18.) Compact chest freezers,29.402985074626866,doe,6.7,197.0,DCF038A2WDB-3,False
DCF038A2WDB,DCF038A2WDB,197.0,6.7,(18.) Compact chest freezers,29.402985074626866,doe,6.7,197.0,DCF038A2WDB,False
DUFM032A3WDB,DUFM032A3WDB,272.0,5.6,(16.) Compact upright freezers with manual defrost,48.57142857142858,doe,5.6,272.0,DUFM032A3WDB,False
DUFM032A3WDB-3,DUFM032A3WDB-3,272.0,5.6,(16.) Compact upright freezers with manual defrost,48.57142857142858,doe,5.6,272.0,DUFM032A3WDB-3,False
SSBC056D3*,SSBC056D3B-S,308.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,55.0,doe,5.6,308.0,SSBC056D3B-S,False
LRKNC0505*,LRKNC0505*,200.0,7.9,(18.) Compact chest freezers,25.31645569620253,doe,7.9,200.0,LRKNC0505.,False
ZCK-163S,ZCK-163S,312.0,5.8,(13A.) Compact all-refrigerators - automatic defrost,53.793103448275865,doe,5.8,312.0,ZCK-163S,False
BC-71,PRF257400XB,213.0,2.5,(11A.) Compact all-refrigerators - manual defrost,85.2,doe,2.5,213.0,PRF257400XB,False
BC-71,PRF256400XS,213.0,2.5,(11A.) Compact all-refrigerators - manual defrost,85.2,doe,2.5,213.0,PRF256400XS,False
BC-47,PRF166400XS,207.0,1.6,(11A.) Compact all-refrigerators - manual defrost,129.375,doe,1.6,207.0,PRF166400XS,False
BC-47,PRF167400XB,207.0,1.6,(11A.) Compact all-refrigerators - manual defrost,129.375,doe,1.6,207.0,PRF167400XB,False
BC-47,PRF165400XW,207.0,1.6,(11A.) Compact all-refrigerators - manual defrost,129.375,doe,1.6,207.0,PRF165400XW,False
TT-BW248413SZ,TT-BW248413SZ,309.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,55.17857142857143,doe,5.6,309.0,TT-BW248413SZ,False
SS-BW248413SZ,SS-BW248413SZ,309.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,55.17857142857143,doe,5.6,309.0,SS-BW248413SZ,False
SS-BW154807SZ,SS-BW154807SZ,289.0,3.4,(13A.) Compact all-refrigerators - automatic defrost,85.0,doe,3.4,289.0,SS-BW154807SZ,False
OD-R24SDSZ01,OD-R24SDSZ01,278.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.642857142857146,doe,5.6,278.0,OD-R24SDSZ01,False
HD-273FN,HD-273F,375.0,8.2,(12.) Compact refrigerator-freezers - partial automatic defrost,45.73170731707317,doe,8.2,375.0,HD-273F,False
HS-208FN,MRU05M2AWW,303.0,9.3,(16.) Compact upright freezers with manual defrost,32.58064516129032,doe,9.3,303.0,MRU05M2AWW,False
HS-185CN(NZ),WHS-185C1WS,218.0,8.8,(18.) Compact chest freezers,24.77272727272727,doe,8.8,218.0,WHS-185C1WS,False
HD-113FN (S2NZ1),ATMP032AES,218.0,3.2,(12.) Compact refrigerator-freezers - partial automatic defrost,68.125,doe,3.2,218.0,ATMP032AES,False
HS-52FN(SNZ),WHS-258C1WSB,224.0,12.4,(18.) Compact chest freezers,18.064516129032256,doe,12.4,224.0,WHS-258C1WSB,False
HS-129CN(NZ),ACFM035BDW,193.0,6.2,(18.) Compact chest freezers,31.129032258064516,doe,6.2,193.0,ACFM035BDW,False
HS-65LN(NA) TILLREDA N,HS-65LN(NA) TILLREDA N,208.0,1.5,(11A.) Compact all-refrigerators - manual defrost,138.66666666666666,doe,1.5,208.0,HS-65LN(NA) TILLREDA N,False
TUF-24-*-**-C,TUF-24-R-OP-C,384.0,7.4,(17.) Compact upright freezers with automatic defrost,51.89189189189189,doe,7.4,384.0,TUF-24-R-OP-C,False
TUF-24-D-**-C,TUF-24-D-SS-C,383.0,7.2,(17.) Compact upright freezers with automatic defrost,53.19444444444444,doe,7.2,383.0,TUF-24-D-SS-C,False
TUR-24DD-*-**-C,TUR-24-DD-R-OP-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-DD-R-OP-C,False
TUR-24DD-*-**-C,TUR-24-DD-L-OP-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-DD-L-OP-C,False
TUR-24DD-*-**-C,TUR-24-DD-R-SS-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-DD-R-SS-C,False
TUR-24BD-*-**-C,TUR-24BD-R-OP-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24BD-R-OP-C,False
TUR-24BD-*-**-C,TUR-24BD-R-SS-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24BD-R-SS-C,False
TBC-24-*-**-C,TBC-24-R-OP-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TBC-24-R-OP-C,False
TURADA-24-**-A,TURADA-24-LG-A,274.0,5.0,(13A.) Compact all-refrigerators - automatic defrost,54.8,doe,5.0,274.0,TURADA-24-LG-A,False
TUR-24-*-SG-C,TUR-24-R-SG-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-R-SG-C,False
TUR-15-*-SG-C,TUR-15-L-SG-C,258.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.2258064516129,doe,3.1,258.0,TUR-15-L-SG-C,False
TUR-15-*-SG-C,TUR-15-R-SG-C,258.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.2258064516129,doe,3.1,258.0,TUR-15-R-SG-C,False
TUR-15-*-SS-C,TUR-15-L-SS-C,258.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.2258064516129,doe,3.1,258.0,TUR-15-L-SS-C,False
TUR-15-*-OG-C,TUR-15-R-OG-C,258.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.2258064516129,doe,3.1,258.0,TUR-15-R-OG-C,False
TUR-15BD-*-**-C,TUR-15BD-L-SS-C,258.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.2258064516129,doe,3.1,258.0,TUR-15BD-L-SS-C,False
TUR-15BD-*-**-C,TUR-15BD-R-SS-C,258.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.2258064516129,doe,3.1,258.0,TUR-15BD-R-SS-C,False
