Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume
4w3n40-23,WRT104TFD*0*,373.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.560693641618496
4w3in40-23,ART104TFD*0*,457.0,17.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.416184971098264
9w3i20-06,6780*,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913
9w320-06,6780*,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0
9w320-06,WRT112CZJ***,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0
4w3n42-25,WRT314TFD*0*,373.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.560693641618496
4w3in42-25,WRT314TFD*0*,457.0,17.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.416184971098264
ENX52,ENX52,210.0,2.0,(11A.) Compact all-refrigerators - manual defrost,105.0
ENX62,ENX62,208.0,2.3,(11A.) Compact all-refrigerators - manual defrost,90.43478260869566
HBF3200-BLACK,"HBF3200-RED,HBF3200-CORAL,HBF3200-BLUE,HBF3200-WHITE,HBF3200-MOONBM,HBF3200-CREAM,HBF3210-BLACK,HBF3210-WHITE,HBF3210-CORAL,HBF3210-MOONBM,HBF3210-CORAL,HBF3210-BLUE,HBF3210-CREAM",218.0,3.2,(11A.) Compact all-refrigerators - manual defrost,68.125
ERAR88RED,ERAR88RED,209.0,8.3,(1A.) All-refrigerators - manual defrost,25.180722891566262
ERAR88SVR,ERAR88SVR,209.0,8.3,(1A.) All-refrigerators - manual defrost,25.180722891566262
7w7p41-18,WRS315SD**0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285
7w7p41-18,5004*71*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285
7w7p41-18,ASI2575G**0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285
E-G45,E-G45,186.0,1.7,(11A.) Compact all-refrigerators - manual defrost,109.41176470588236
TW75,TW75,210.0,2.6,(11A.) Compact all-refrigerators - manual defrost,80.76923076923076
TW95,TW95,215.0,3.2,(11A.) Compact all-refrigerators - manual defrost,67.1875
TWW95,TWW95,224.0,3.2,(11A.) Compact all-refrigerators - manual defrost,70.0
153(x),153 TTR1047WH,228.0,4.8,(13A.) Compact all-refrigerators - automatic defrost,47.5
2451(x),2451 DUF1650WH,256.0,11.6,(16.) Compact upright freezers with manual defrost,22.06896551724138
BCD-127-E,EF-45330-MC-B,330.0,5.5,(12.) Compact refrigerator-freezers - partial automatic defrost,60.0
BC-128C-E,CREF 45 SS,252.0,4.4,(11A.) Compact all-refrigerators - manual defrost,57.272727272727266
DF1-153MCF,HVR440HSEF,228.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.81818181818181
DF1-153MCF,HVR440HWEF,228.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.81818181818181
BD-398WE,PFV1406XS,396.0,24.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.097560975609756
BD-398WE,PFV1405XW,396.0,24.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.097560975609756
G45,G45,189.0,1.8,(11A.) Compact all-refrigerators - manual defrost,105.0
BD110,BD110,206.0,3.6,(11A.) Compact all-refrigerators - manual defrost,57.22222222222222
G135D,G135D,242.0,4.5,(11A.) Compact all-refrigerators - manual defrost,53.77777777777778
E45,E45,186.0,1.7,(11A.) Compact all-refrigerators - manual defrost,109.41176470588236
HC-969WE(UR-BCD745WZ-DT),MRS26D7AWW,715.0,33.6,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.279761904761905
HC-969WE(UR-BCD745WZ-DT),MRS26D7ABB,715.0,33.6,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.279761904761905
HCCFESS70,HCCFESS70**********,250.0,12.3,(18.) Compact chest freezers,20.32520325203252
TA55,TA55,200.0,1.9,(11A.) Compact all-refrigerators - manual defrost,105.26315789473685
TS50,TS50,140.0,1.8,(11A.) Compact all-refrigerators - manual defrost,77.77777777777777
HBFR7500,"HBFR7500,HBFR727,HBFR7500-BLACK,HBFR7500-RED,HBFR7500-WHITE,HBFR725",380.0,8.8,(12.) Compact refrigerator-freezers - partial automatic defrost,43.18181818181818
LRFGC2706*,LRFGC2706*,632.0,33.1,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,19.093655589123866
WMS053M6XVE,WMS053M6XVE,273.0,5.7,(11.) Compact refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,47.89473684210526
WMS053M6XVE,LMS053M6RVE,273.0,5.7,(11.) Compact refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,47.89473684210526
4w9G60-24,AZF33X16D*,466.0,27.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.884057971014492
4w9G60-24,MZF34X16D*,466.0,27.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.884057971014492
MAXBC52SD,MAXBC52SD,258.0,5.2,(13A.) Compact all-refrigerators - automatic defrost,49.61538461538461
BC-47/HC1(H),LMS016M6RBE,246.0,1.6,(13A.) Compact all-refrigerators - automatic defrost,153.75
BC-47/HC1(H),RC16A1GBE,246.0,1.6,(13A.) Compact all-refrigerators - automatic defrost,153.75
BC-47/HC1(H),RC16A1G*E,246.0,1.6,(13A.) Compact all-refrigerators - automatic defrost,153.75
BC-94DJ1NA1/HC1(Q),5131223,260.0,3.3,(13A.) Compact all-refrigerators - automatic defrost,78.7878787878788
BC-73DJ1NA1/HC1(Q),LMS026M6RBE,254.0,2.5,(13A.) Compact all-refrigerators - automatic defrost,101.6
BC-73DJ1NA1/HC1(Q),LMS026M6RVE,254.0,2.5,(13A.) Compact all-refrigerators - automatic defrost,101.6
RF-510WI,PRNIM18*****,448.0,21.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.032863849765256
RF-600WI,PRNIM20*****,469.0,24.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,19.46058091286307
8W3ABI10-01,JBRF*36IGX**,360.0,21.4,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.82242990654206
4w5ibic41-01,JF42NXFXDE**,694.0,29.1,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.848797250859107
7W5g21-04,WRF532SNH*,500.0,27.0,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,18.51851851851852
7w5ij50-18,WRFA35SWH*,615.0,30.8,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,19.967532467532468
7w5ij50-18,WRF535SWH*,615.0,30.8,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,19.967532467532468
7w5ij50-18,WRF535SMH*,615.0,30.8,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,19.967532467532468
4w5ij20-26,MBF2258FE***,584.0,27.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.62962962962963
4w5ij20-26,MBF2258DE*,584.0,27.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.62962962962963
6w5ab50-19,WRF555SDH*,685.0,29.9,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,22.909698996655518
6w5ab50-19,WRF555SDF***,685.0,29.9,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,22.909698996655518
6w5ab50-19,MFI2570FE***,685.0,29.9,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,22.909698996655518
6w5ab50-19,IX7DDEXGZ*,685.0,29.9,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,22.909698996655518
5w5am61-08,WRV996FDE***,767.0,31.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.349206349206348
5w5am61-08,KRMF706ESS**,767.0,31.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.349206349206348
5w5am61-08,KRMF706EBS**,767.0,31.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.349206349206348
5w5am61-08,KRMF606ESS**,767.0,31.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.349206349206348
8W5A70-11,WRF757SDH*0*,710.0,33.0,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,21.515151515151516
8W5A70-11,MFT2772HE*0*,710.0,33.0,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,21.515151515151516
8W5A70-11,KRFF507H**0*,710.0,33.0,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,21.515151515151516
8W5A70-11,KRFF577K**0*,710.0,33.0,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,21.515151515151516
7w5ab40-17,WRX735SDH*,683.0,29.6,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,23.074324324324323
4w5iz00-18,WRF540CWB*,563.0,24.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.16872427983539
4w5iz00-18,MFC2062FE***,563.0,24.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.16872427983539
4w5iz00-18,MFC2062DEM*,563.0,24.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.16872427983539
4w5iz00-18,KRFC300E****,563.0,24.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.16872427983539
4w5iz00-18,KBFS20EC*,563.0,24.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.16872427983539
BC/BD-256NA,111.1799####,218.0,15.5,(10.) Chest freezers and all other freezers except compact freezers,14.064516129032258
BC/BD-256NA,1799#,218.0,15.5,(10.) Chest freezers and all other freezers except compact freezers,14.064516129032258
BD-375NA,111.1768####,268.0,22.9,(10.) Chest freezers and all other freezers except compact freezers,11.703056768558953
BD-375NA,1768#,268.0,22.9,(10.) Chest freezers and all other freezers except compact freezers,11.703056768558953
FFRBI1836-36**,SFRBI1836-36**,458.0,24.7,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,18.54251012145749
BCD-606WI,ZFRBI1844-36**,560.0,25.0,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.4
