Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume
DET3650CI**/*,DET3650CIID/R,593.0,24.3,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.403292181069958
BRFB1542SS,BRFB1542SS,420.0,16.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.149700598802397
BFBF2815SSIM,BFBF2815SSIM,420.0,16.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.149700598802397
BD-100CT,SPFF2D24OS***,355.0,6.2,(17.) Compact upright freezers with automatic defrost,57.25806451612903
BD-100CT,ADFD2D24***,355.0,6.2,(17.) Compact upright freezers with automatic defrost,57.25806451612903
BD78/H,SCFF1842***,346.0,4.8,(17.) Compact upright freezers with automatic defrost,72.08333333333334
SPR3032D,ADRD30SS**,305.0,5.4,(13A.) Compact all-refrigerators - automatic defrost,56.48148148148148
SPR3032D,ADRD30**,305.0,5.4,(13A.) Compact all-refrigerators - automatic defrost,56.48148148148148
SPR275OS2D,ADRD27***,303.0,4.8,(13A.) Compact all-refrigerators - automatic defrost,63.125
SPR275OS2D,SPR275OS2D***,303.0,4.8,(13A.) Compact all-refrigerators - automatic defrost,63.125
ALFZ51,SCFF54CSS***,380.0,7.0,(17.) Compact upright freezers with automatic defrost,54.285714285714285
ALFZ51,SPFF54OS***,380.0,7.0,(17.) Compact upright freezers with automatic defrost,54.285714285714285
6w3ab80-05,GARF30FDGB**,293.0,17.8,(3A.) All-refrigerators - automatic defrost,16.46067415730337
4w9j81-15,MZF34X18F***,496.0,31.2,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.897435897435898
4w9j81-15,AZF33X18D*,496.0,31.2,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.897435897435898
4w3aj80-07,WRF57R18D*,326.0,17.7,(3A.) All-refrigerators - automatic defrost,18.418079096045197
4w3aj80-07,WSR57R18D*,326.0,17.7,(3A.) All-refrigerators - automatic defrost,18.418079096045197
4w3ig80-53,WRT108FFD***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5
4w3ig80-53,MRT118FFF***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5
4w3g80-53,WRT318FZD***,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3g80-53,WRT108FZD*0*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3g80-53,MRT118FFF***,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3g80-53,ART318FFD*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3g12-43,WRT311FZD*,436.0,25.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.37051792828685
6w3n80-31,WRT518SZKV***,400.0,20.7,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,19.32367149758454
6w3in80-31,WRT518SZKV***,484.0,20.7,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,23.381642512077295
6w3in80-31,WRT518SZF***,484.0,20.7,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,23.381642512077295
5w3n80-17,WRT138FZD*,370.0,22.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,16.7420814479638
5w3in80-17,WRT138FZD*,455.0,22.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.588235294117645
5w3n80-17,WRT138FFD***,370.0,22.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,16.7420814479638
5w3in80-17,WRT138FFD***,455.0,22.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.588235294117645
4w3n10-17,WRT541SZH*0*,399.0,26.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,15.346153846153847
F70420NE,BUFR2715WH,305.0,25.1,(9.) Upright freezers with automatic defrost without an automatic icemaker,12.151394422310757
F70420NE,BUFR2715MG,305.0,25.1,(9.) Upright freezers with automatic defrost without an automatic icemaker,12.151394422310757
4w5ij51-08,KRFF305E****,615.0,30.8,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,19.967532467532468
WMS017M6XBE,RD-175BK,208.0,1.6,(11A.) Compact all-refrigerators - manual defrost,130.0
WMS017M6XBE,2AW1BF16A,208.0,1.6,(11A.) Compact all-refrigerators - manual defrost,130.0
WMS017M6XBE,RC16C1GBE,208.0,1.6,(11A.) Compact all-refrigerators - manual defrost,130.0
WMS017M6XBE,WMS017M6XBE,208.0,1.6,(11A.) Compact all-refrigerators - manual defrost,130.0
VL60GDN,VL60GDN,199.0,2.1,(11A.) Compact all-refrigerators - manual defrost,94.76190476190476
VL45GSN,VL45GSN,127.0,1.6,(11A.) Compact all-refrigerators - manual defrost,79.375
JP50BGN,JP50BGN,176.0,1.8,(11A.) Compact all-refrigerators - manual defrost,97.77777777777777
X50,X50,121.0,1.8,(11A.) Compact all-refrigerators - manual defrost,67.22222222222221
TC65,TC65,134.0,2.3,(11A.) Compact all-refrigerators - manual defrost,58.2608695652174
RV45S,RV45S,130.0,1.6,(11A.) Compact all-refrigerators - manual defrost,81.25
RV60D,RV60D,187.0,2.0,(11A.) Compact all-refrigerators - manual defrost,93.5
AJ50G,AJ50G,219.0,1.8,(11A.) Compact all-refrigerators - manual defrost,121.66666666666666
93003,93003,272.0,5.1,(13A.) Compact all-refrigerators - automatic defrost,53.333333333333336
BCD-630WP2BF1Z21/HC1(E),COS-FDR223GWSS,590.0,27.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.299638989169676
BD-200YC,EFRF7003-6COM,250.0,12.3,(18.) Compact chest freezers,20.32520325203252
HS-121LN(S5NZ),MRM33S4ASLC,220.0,3.3,(13A.) Compact all-refrigerators - automatic defrost,66.66666666666667
BCD-595WI,VFFR2101ESE-C,539.0,25.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.56
BCD-595WI,VFFR2101ESSE-C,539.0,25.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.56
BCD-595WI,VFFR2101ESBE,539.0,25.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.56
BCD-595WI,VFFR2101ESE,539.0,25.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.56
BCD-595WI,VFFR2101ESSE,539.0,25.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.56
4w9g60-25,MZF34X16D*,466.0,27.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.884057971014492
4w9g60-25,WZF34X16D*,466.0,27.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.884057971014492
7w7P41-21,5004*71*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285
7W7Z40-07,WRS555SI**0*,701.0,31.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.32484076433121
7W7Z40-07,MSS25C4M**0*,701.0,31.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.32484076433121
7w7P40-22,WRS325SDH*0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285
SRB5290,SRB5290,200.0,13.7,(3A.) All-refrigerators - automatic defrost,14.598540145985401
C5250,C5250,288.0,14.4,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,20.0
SC5781,SC5781,300.0,15.6,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,19.23076923076923
C5740IM,C5740IM,370.0,15.6,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.71794871794872
4w9g00-12,MZF34X20D*,525.0,34.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.173410404624278
4w9g00-12,AZF33X20D*,525.0,34.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.173410404624278
5w3n80-18,WRT138FZD*,370.0,22.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,16.7420814479638
5w3in80-18,WRT138FZD*,455.0,22.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.588235294117645
4w3ig80-54,WRT318FZD***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5
4w3ig80-54,WRT108FZD*0*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5
4w3ig80-54,ART318FFD*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5
4w3g80-54,WRT108FZD*0*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3g80-54,WRT108FFD***,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3g80-54,ART308FFD*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
6w3n80-32,WRT518SZKV***,400.0,20.7,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,19.32367149758454
6w3in80-32,WRT518SZF***,484.0,20.7,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,23.381642512077295
4w3n60-18,WRT106TFD*0*,387.0,19.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,20.36842105263158
4w3n60-18,ART106TFD*0*,387.0,19.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,20.36842105263158
4w3in60-18,ART106TFD*0*,471.0,19.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,24.789473684210527
FC50D6EWE,LFC050N6AWE,196.0,8.9,(18.) Compact chest freezers,22.02247191011236
BD-282JU,PFR10400X,233.0,17.6,(10.) Chest freezers and all other freezers except compact freezers,13.238636363636363
8W5A70-12,KRFF577K**0*,710.0,33.0,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,21.515151515151516
8W5A70-12,WRF757SDH*0*,710.0,33.0,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,21.515151515151516
8W5A71-10,WRF767SDH*0*,710.0,33.0,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,21.515151515151516
4w5at60-10,MFX2676FR***,772.0,32.1,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.049844236760123
4w5at60-10,MFX2876DR***,772.0,32.1,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.049844236760123
4w5at60-10,WRX988SIB*,772.0,32.1,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.049844236760123
7W4iP50-06,MSS25N4MK***,658.0,32.4,(4I.) Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,20.308641975308642
7W4iP50-06,WRSA15SN**0*,658.0,32.4,(4I.) Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,20.308641975308642
7w7t42-03,WRS335SDH*0*,640.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,20.317460317460316
7w7t42-03,IRS335SDH*0*,640.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,20.317460317460316
7W4P50-06,MSS25N4MK***,574.0,32.4,(4.) Refrigerator-freezers - automatic defrost with side-mounted freezer without an automatic icemaker,17.71604938271605
8w7t10-03,WRS331SDH*0*,602.0,26.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.71698113207547
4w7Z10-22,WRSA71CIH*0*,654.0,25.9,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,25.25096525096525
4w7Z10-22,5178*61*,654.0,25.9,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,25.25096525096525
4w7Z10-22,5178*41*,654.0,25.9,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,25.25096525096525
RF-510W,DDT-510W*A1U,365.0,21.4,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.05607476635514
BC-122DJ1NA1/HC1(Y),NS-CF44SS#***,228.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.81818181818181
BC-94DJ1NA1A/HC1(Y),NS-CF33SS#***,220.0,3.3,(11A.) Compact all-refrigerators - manual defrost,66.66666666666667
BC-94DJ1NA1A/HC1(Y),NS-CF33SS3,220.0,3.3,(11A.) Compact all-refrigerators - manual defrost,66.66666666666667
BC-94DJ1NA1A/HC1(Y),NS-CF33BK#***,220.0,3.3,(11A.) Compact all-refrigerators - manual defrost,66.66666666666667
4w5ig01-23,7947*41*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w5ig01-23,IX5BBEXD*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w5ig01-23,WRF560SEY*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w5ig01-23,WRFA60SMH*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
CL3650R**/O/*,CL3650R/O/L,411.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,18.026315789473685
CL3650R**/O/*,CL3650R/O/R,411.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,18.026315789473685
CL3650R**/O/*,CL3650RID/O/L,411.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,18.026315789473685
CL3650R**/O/*,CL3650RID/O/R,411.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,18.026315789473685
CL3650R**/S/*/*,CL3650R/S/P/L,370.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.228070175438596
CL3650R**/S/*/*,CL3650R/S/T/L,370.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.228070175438596
CL3650R**/S/*/*,CL3650R/S/T/R,370.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.228070175438596
CL3650R**/S/*/*,CL3650RID/S/P/R,370.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.228070175438596
CL3650R**/S/*/*,CL3650RID/S/T/L,370.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.228070175438596
CL3650R**/S/*/*,CL3650RID/S/T/R,370.0,22.8,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.228070175438596
CL3650R*/*/*/*,CL3650RG/O/R,412.0,22.9,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.99126637554585
CL3650R*/*/*/*,CL3650RG/S/P/L,412.0,22.9,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.99126637554585
CL3650R*/*/*/*,CL3650RG/S/T/L,412.0,22.9,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.99126637554585
CL3650R*/*/*/*,CL3650RG/S/T/R,412.0,22.9,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.99126637554585
CL3650R*/*/*/*,CL3650RA/O/R,412.0,22.9,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.99126637554585
CL3650R*/*/*/*,CL3650RA/S/P/L,412.0,22.9,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.99126637554585
CL3650R*/*/*/*,CL3650RA/S/T/L,412.0,22.9,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.99126637554585
CL3650R*/*/*/*,CL3650RA/S/T/R,412.0,22.9,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.99126637554585
CL3650F/O/*,CL3650F/O/L,702.0,36.2,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,19.392265193370164
CL3650F/O/*,CL3650F/O/R,702.0,36.2,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,19.392265193370164
CL3650F/S/*/*,CL3650F/S/T/L,640.0,36.2,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,17.67955801104972
CL3050U**/S/*/*,CL3050U/S/T/L,557.0,20.1,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,27.71144278606965
CL3050U**/S/*/*,CL3050U/S/T/R,557.0,20.1,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,27.71144278606965
CL3050U**/S/*/*,CL3050UID/S/P/R,557.0,20.1,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,27.71144278606965
CL3050U*/*/*/*,CL3050UG/O/L,611.0,20.2,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,30.247524752475247
CL3050U*/*/*/*,CL3050UG/S/P/R,611.0,20.2,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,30.247524752475247
CL3050U*/*/*/*,CL3050UA/O/L,611.0,20.2,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,30.247524752475247
CL3050U*/*/*/*,CL3050UA/S/P/R,611.0,20.2,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,30.247524752475247
CL3650U**/O/*,CL3650U/O/L,653.0,24.7,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.437246963562753
CL3650U**/O/*,CL3650UID/O/R,653.0,24.7,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.437246963562753
CL3650U**/S/*/*,CL3650U/S/T/L,596.0,24.7,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.129554655870447
CL3650U**/S/*/*,CL3650UID/S/P/R,596.0,24.7,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.129554655870447
CL3650U**/S/*/*,CL3650UID/S/T/R,596.0,24.7,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.129554655870447
CL3650U*/*/*/*,CL3650UG/O/L,654.0,24.8,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.370967741935484
CL3650U*/*/*/*,CL3650UG/S/P/L,654.0,24.8,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.370967741935484
CL3650U*/*/*/*,CL3650UG/S/T/R,654.0,24.8,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.370967741935484
CL3650U*/*/*/*,CL3650UA/S/P/R,654.0,24.8,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.370967741935484
CL3650UFD**/*/*,CL3650UFD/O,651.0,24.5,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.571428571428573
CL3650UFD**/*/*,CL3650UFD/S/P,651.0,24.5,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.571428571428573
CL4250UFD**/*/*,CL4250UFD/O,698.0,29.5,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.661016949152543
CL4250UFD**/*/*,CL4250UFDID/O,698.0,29.5,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.661016949152543
CL4850UFD**/*/*,CL4850UFD/S/T,747.0,34.7,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.527377521613833
CL4850UFD**/*/*,CL4850UFDID/S/P,747.0,34.7,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.527377521613833
CL4850UFD**/*/*,CL4850UFDID/S/T,747.0,34.7,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.527377521613833
CL4250S/*/*,CL4250S/O,762.0,31.4,(4I-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,24.26751592356688
CL4250SD/*/*,CL4250SD/O,817.0,30.7,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,26.61237785016287
CL4250SD/*/*,CL4250SD/S/P,817.0,30.7,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,26.61237785016287
CL4250SID/*/*,CL4250SID/O,760.0,31.2,(4I-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,24.35897435897436
CL4250SID/*/*,CL4250SID/S/P,760.0,31.2,(4I-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,24.35897435897436
CL4250SID/*/*,CL4250SID/S/T,760.0,31.2,(4I-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,24.35897435897436
CL4850SD/*/*,CL4850SD/S/P,875.0,36.3,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,24.104683195592287
CL4850SD/*/*,CL4850SD/S/T,875.0,36.3,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,24.104683195592287
CL4850SID/*/*,CL4850SID/O,817.0,36.8,(4I-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,22.201086956521742
BCD-342W,MFF123SS,316.0,14.7,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.496598639455783
BCD-342W,MFF123W,316.0,14.7,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.496598639455783
BCD-282W,MFF103W,297.0,12.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,24.545454545454547
BD-408AN,MUF144,301.0,25.3,(8.) Upright freezers with manual defrost,11.897233201581027
4w5iz21-08,KRFF302E****,585.0,27.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.666666666666668
BD-398WE,BC/BD-398WE,396.0,24.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,16.097560975609756
BD-150YC,VFX05UW,216.0,8.8,(18.) Compact chest freezers,24.545454545454543
BD-282,VFX07UWA,233.0,17.6,(10.) Chest freezers and all other freezers except compact freezers,13.238636363636363
BD-150YC,VFX05UWA,216.0,8.8,(18.) Compact chest freezers,24.545454545454543
BD-150YC,VCCF0500W4,216.0,8.8,(18.) Compact chest freezers,24.545454545454543
BCD-456WAEASCC,HBF1558,460.0,20.2,(4.) Refrigerator-freezers - automatic defrost with side-mounted freezer without an automatic icemaker,22.772277227722775
DET3050R**/*,DET3050R/L,324.0,16.4,(3A-BI.) Built-in All-refrigerators - automatic defrost,19.75609756097561
DET3050R**/*,DET3050R/R,324.0,16.4,(3A-BI.) Built-in All-refrigerators - automatic defrost,19.75609756097561
DET3050R**/*,DET3050RID/L,324.0,16.4,(3A-BI.) Built-in All-refrigerators - automatic defrost,19.75609756097561
DET3650R**/*,DET3650R/L,353.0,20.4,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.30392156862745
DET3650R**/*,DET3650R/R,353.0,20.4,(3A-BI.) Built-in All-refrigerators - automatic defrost,17.30392156862745
BC/BD-500EG,5265354,303.0,30.9,(10.) Chest freezers and all other freezers except compact freezers,9.805825242718447
7W7m80-16,WRSA88FI**,747.0,36.8,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,20.29891304347826
7W7m80-16,WRS588FI**0*,747.0,36.8,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,20.29891304347826
7w7P41-22,ASI2575G**0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285
7w7P41-22,5004*71*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285
BCD-595W,HBF2067,461.0,25.0,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,18.44
JC-138WYB/HC1(H),HBC54D6AS,308.0,5.4,(13A.) Compact all-refrigerators - automatic defrost,57.03703703703703
9w320-08,WRT112CZJ***,345.0,13.8,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,25.0
9w3i20-08,WRT112CZJ***,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913
9w3i20-08,6780*,429.0,13.8,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.08695652173913
4w3n41-13,IRT134FD*0*,336.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,19.421965317919074
4w3n41-13,WRT134TFD*0*,336.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,19.421965317919074
4w3n10-18,WRT541SZD*0*,399.0,26.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,15.346153846153847
