Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n10-11,WRT541SZH*0*,26.0,399.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZH.0.
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5i90-02,WRB329DMB*,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,WRB329DMB.
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5i90-03,WRB329DMB*,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,WRB329DMB.
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5i90-04,7931***,23.0,553.0,18.7,No,No,https://www.kenmore.com/energyguide/,7931...
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,8w7t10,WRS331SDH*0*,26.5,602.0,21.4,No,No,https://www.whirlpool.com/services/manuals.html,WRS331SDH.0.
JENN-AIR,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,8W9IBI090,ALOVE18FLC0*,15.8,459.0,9.0,No,No,https://www.whirlpool.com/services/manuals.html,ALOVE18FLC0.
WHIRLPOOL,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,9w531,WRB533CZJ***,15.7,410.0,13.0,No,No,https://www.whirlpool.com/services/manuals.html,WRB533CZJ...
BougeRV,(11A.) Compact all-refrigerators - manual defrost,CR50,CR32,1.7,168.0,1.7,No,No,By annual report date,CR32
joyjujus,(11A.) Compact all-refrigerators - manual defrost,CR50,CR32,1.7,168.0,1.7,No,No,By annual report date,CR32
Hisense,(18.) Compact chest freezers,FC70D6EWE,FC70D6EWE,12.3,225.0,7.0,No,No,https://www.hisense-usa.com/support/,FC70D6EWE
Hisense,(18.) Compact chest freezers,FC70D6EWE,FC70D6E*E,12.3,225.0,7.0,No,No,https://www.hisense-usa.com/support/,FC70D6E.E
Hisense,(18.) Compact chest freezers,FC50D6EWE,FC50D6E*E,8.9,196.0,5.0,No,No,https://www.hisense-usa.com/support/,FC50D6E.E
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-71D/HC1(H),LCR27D6N*E,2.5,254.0,2.5,No,No,https://www.hisense-usa.com/support/,LCR27D6N.E
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-42NA/HC1(H),LCR17D6N*E,1.5,245.0,1.5,No,No,https://www.hisense-usa.com/support/,LCR17D6N.E
Perfect Aire,(12.) Compact refrigerator-freezers - partial automatic defrost,RT33D6AAE,1P2BF33,3.9,322.0,3.2,No,No,https://perfectaire.us/resource_category/specs/ [perfectaire.us],1P2BF33
Hisense,(12.) Compact refrigerator-freezers - partial automatic defrost,RT33D6AAE,LCT33D6A*E,3.9,322.0,3.2,No,No,https://www.hisense-usa.com/support/,LCT33D6A.E
Hisense,(11A.) Compact all-refrigerators - manual defrost,RS-17DR1SA,RR44D6**E,4.2,226.0,4.2,No,No,https://www.hisense-usa.com/support/,RR44D6..E
Upstreman,(11A.) Compact all-refrigerators - manual defrost,CR31,CR31,1.8,232.0,1.8,No,No,By annual report date,CR31
Upstreman,(11A.) Compact all-refrigerators - manual defrost,C1,C1,1.8,232.0,1.8,No,No,By annual report date,C1
