Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Thermador,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,T36IF905SP,T36IF905SP,34.2,528.0,19.4,No,No,http://www.bshenergyguides.com,T36IF905SP
Viking,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BI7360,CFBI7360****,24.8,595.0,20.0,No,No,By annual report date,CFBI7360....
Viking,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BI7360,FBI7360****,24.8,595.0,20.0,No,No,By annual report date,FBI7360....
Viking,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BI7360,VBI7360****,24.8,595.0,20.0,No,No,By annual report date,VBI7360....
Viking,(4I-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,SB5483,VCSB5483****,35.8,715.0,29.1,No,No,By annual report date,VCSB5483....
Viking,(3A-BI.) Built-in All-refrigerators - automatic defrost,RI7300,CFRI7300****,16.4,324.0,16.4,No,No,By annual report date,CFRI7300....
Viking,(3A-BI.) Built-in All-refrigerators - automatic defrost,RI7300,MVRI7300****,16.4,324.0,16.4,No,No,By annual report date,MVRI7300....
Viking,(3A-BI.) Built-in All-refrigerators - automatic defrost,RI7300,VRI7300****,16.4,324.0,16.4,No,No,By annual report date,VRI7300....
XO Appliances,(13A.) Compact all-refrigerators - automatic defrost,XOU24RD,XOU24RDS,5.2,275.0,5.2,No,No,By annual report date,XOU24RDS
XO Appliances,(13A.) Compact all-refrigerators - automatic defrost,XOU24BCGOA,XOU24BCGOA,4.3,267.0,4.3,No,No,https://xoappliance.com/media/energy-labels/XOU24BCGOA-energy-label-US.pdf,XOU24BCGOA
XO Appliances,(13A.) Compact all-refrigerators - automatic defrost,XOU24BCSF,XOU24BCSFL,5.7,278.0,5.7,No,No,https://xoappliance.com/media/energy-labels/XOU24BCSFL-XOU24BCSFR-energy-label-US.pdf,XOU24BCSFL
XO Appliances,(13A.) Compact all-refrigerators - automatic defrost,XOU24BCFO,XOU24BCFOR,5.7,278.0,5.7,No,No,By annual report date,XOU24BCFOR
XO Appliances,(13A.) Compact all-refrigerators - automatic defrost,XOU24BCG,XOU24BCGBL,5.7,278.0,5.7,No,No,https://xoappliance.com/media/energy-labels/XOU24BCGBL-XOU24BCGBR-energy-label-US.pdf,XOU24BCGBL
XO Appliances,(13A.) Compact all-refrigerators - automatic defrost,XOU24BCG,XOU24BCGOR,5.7,278.0,5.7,No,No,https://xoappliance.com/media/energy-labels/XOU24BCGOL-XOU24BCGOR-energy-label-US.pdf,XOU24BCGOR
XO Appliances,(13A.) Compact all-refrigerators - automatic defrost,XOU24ORD,XOU24ORDS,5.2,275.0,5.2,No,No,By annual report date,XOU24ORDS
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23A9675**,RF23A9675**,29.5,634.0,22.8,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf23a9675ap-aa-energylabel.pdf,RF23A9675..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23A9675**,RF23A9671**,29.5,634.0,22.8,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf23a9671sr-aa-energylabel.pdf,RF23A9671..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF29A9675**,RF29A9675**,37.8,704.0,29.0,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf29a9675ap-aa-energylabel.pdf,RF29A9675..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF29A9071**,RF29A9071**,38.0,705.0,29.2,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf29a9071sr-aa-energylabel.pdf,RF29A9071..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23B7671**,RF23B7671**,29.7,635.0,22.8,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf23b7671sr-aa-energylabel.pdf,RF23B7671..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF23BB8200**,RF23BB8200**,28.1,621.0,22.9,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf23bb8200qlaa-energylabel.pdf,RF23BB8200..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF29BB8900**,RF29BB8900**,35.4,683.0,28.6,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf29bb89008maa-energylabel.pdf,RF29BB8900..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF29BB8600**,RF29BB8600**,35.6,685.0,28.8,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf29bb8600qlaa-energylabel.pdf,RF29BB8600..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF29BB8200**,RF29BB8200**,35.7,685.0,28.9,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf29bb8200qlaa-energylabel.pdf,RF29BB8200..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF30BB6600**,RF30BB6600**,36.9,695.0,30.1,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf30bb6600qlaa-energylabel.pdf,RF30BB6600..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF30BB6200**,RF30BB6200**,36.9,695.0,30.1,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf30bb6200qlaa-energylabel.pdf,RF30BB6200..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF24BB6600**,RF24BB6600**,29.2,630.0,24.0,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf24bb6600qlaa-energylabel.pdf,RF24BB6600..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF24BB6200**,RF24BB6200**,29.2,630.0,24.0,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf24bb6200qlaa-energylabel.pdf,RF24BB6200..
SAMSUNG,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,RF27T5501**,RF27T5501**,33.0,746.0,26.5,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rf27t5501sr-aa-energylabel.pdf,RF27T5501..
SAMSUNG,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,RF27T5241**,RF27T5241**,33.5,705.0,27.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rf27t5241sr-aa-energylabel.pdf,RF27T5241..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF28T5021**,RF28T5021**,34.7,645.0,28.2,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rf28t5021sr-aa-energylabel.pdf,RF28T5021..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF28T5001**,RF28T5A01**,34.7,645.0,28.2,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rf28t5a01sr-aa-energylabel.pdf,RF28T5A01..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF18A5101**,RF18A5101**,21.9,540.0,17.5,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rf18a5101sr-aa-energylabel.pdf,RF18A5101..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF20A5101**,RF20A5101**,24.5,560.0,19.5,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rf20a5101sg-aa-energylabel.pdf,RF20A5101..
SAMSUNG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF22A4221**,RF22A4221**,27.3,585.0,22.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rf22a4221sr-aa-energylabel.pdf,RF22A4221..
SAMSUNG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,RQ48T94*2**,RQ48T94*2**,22.5,487.0,17.3,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rq48t94b277-aa-energylabel.pdf,RQ48T94.2..
SAMSUNG,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,RS22T5561**,RS22T5561**,27.1,636.0,21.5,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rs22t5561sr-aa-energylabel.pdf,RS22T5561..
SAMSUNG,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,RS22T5201**,RS22T5201**,27.6,640.0,22.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rs22t5201sr-aa-energylabel.pdf,RS22T5201..
SAMSUNG,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,RS27T5561**,RS27T5561**,33.9,691.0,26.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rs27t5561sr-aa-energylabel.pdf,RS27T5561..
SAMSUNG,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,RS27T5201**,RS27T5201**,34.6,640.0,27.4,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rs27t5201sr-aa-energylabel.pdf,RS27T5201..
SAMSUNG,(4I.) Refrigerator-freezers - automatic defrost with side-mounted freezer with an automatic icemaker without through-the-door ice service,RS28A5F61**,RS28A5F61**,35.0,650.0,27.3,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rs28a5f61sr-aa-energylabel.pdf,RS28A5F61..
SAMSUNG,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,RT21M62*3**WI,RT21M62*3**,25.4,478.0,21.1,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rt21m6213sg-aa-energylabel-v3.pdf,RT21M62.3..
SAMSUNG,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,RT18M62*5**,RT18M62*5**,21.3,448.0,17.6,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rt18m6215sg-aa-energylabel-v3.pdf,RT18M62.5..
SAMSUNG,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,RT18M62*3**WOI,RT18M62*3**,21.3,364.0,17.6,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rt18m6213sg-aa-energylabel-v3.pdf,RT18M62.3..
SAMSUNG,(9.) Upright freezers with automatic defrost without an automatic icemaker,RZ11T7474**,RZ11T7474**,20.1,361.0,11.4,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rz11t747441-aa-energylabel.pdf,RZ11T7474..
SAMSUNG,(3A.) All-refrigerators - automatic defrost,RZ11T7474**REF,RZ11T7474**,11.4,180.0,11.4,No,No,https://images.samsung.com/is/content/samsung/p6/common/energylabel/common-energylabel-rz11t747441-aa-energylabel.pdf,RZ11T7474..
SAMSUNG,(9.) Upright freezers with automatic defrost without an automatic icemaker,RZ11M7074**,RZ11M7074**,20.1,361.0,11.4,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rz11m7074sa-aa-energylabel.pdf,RZ11M7074..
SAMSUNG,(3A.) All-refrigerators - automatic defrost,RZ11M7074**REF,RZ11M7074**,11.4,180.0,11.4,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rz11m7074sa-aa-energylabel.pdf,RZ11M7074..
SAMSUNG,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,RF28R6222**,RF28R6222**,34.7,610.0,28.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rf28r6222ww-aa-energylabel.pdf,RF28R6222..
SAMSUNG,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,RF23R6201**,RF23R6201**,27.8,699.0,22.6,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-rf23r6201sr-aa-energylabel.pdf,RF23R6201..
Dacor,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,DRZ24980***,DRZ24980***,23.9,500.0,13.6,No,No,http://www.dacor.com/getattachment/Products/Collections/Modernist/column-refrigeration/Panel-Ready-24-Inch-Column-Freezer/DRZ24980LAP_DA_Energylabel.pdf.aspx,DRZ24980...
Dacor,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DRF36750***,DRF36750***,26.5,549.0,21.3,No,No,http://www.dacor.com/getattachment/Products/Collections/Modernist/french-door/Built-In-French-Door-Bottom-Freezer/DACOR-Heritage-Refrigeration-36-Built-In-French-Door-Bottom-Freezer-Energy-Guide-US.pdf.aspx,DRF36750...
Dacor,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DRF42750***,DRF42750***,28.6,629.0,23.5,No,No,http://www.dacor.com/getattachment/Products/Collections/Modernist/french-door/Four-Door-FreshZone-Plus-French-Door/DACOR-Heritage-Refrigeration-42-Four-Door-French-Door-Energy-Guide-US.pdf.aspx,DRF42750...
Dacor,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DRF36C700**,DRF36C700**,29.5,634.0,22.8,No,No,https://www.dacor.com,DRF36C700..
Dacor,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DRF36C500**,DRF36C500**,29.7,635.0,22.8,No,No,https://www.dacor.com,DRF36C500..
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,EFR331,EFR331-B-BLACK-COM,3.2,197.0,3.2,No,No,http://legacy.curtisint.com/products/Images/Energy%20Label/EFR331-B-WHITE-COM%20%20EFR331-B-BLACK-COM.pdf,EFR331-B-BLACK-COM
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-50,EFR176-B-CORAL-COM,1.6,158.0,1.6,No,No,http://legacy.curtisint.com/products/Images/Energy%20Label/EFR176-B-CORAL-COM%20ENERGY%20LABEL.pdf,EFR176-B-CORAL-COM
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,EFR376,EFR376-MOONBM-COM,3.2,193.0,3.2,No,No,http://legacy.curtisint.com/products/Images/Energy%20Label/EFR376-MOONBM-COM.pdf,EFR376-MOONBM-COM
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,EFR376,EFR376-CORAL-COM,3.2,193.0,3.2,No,No,http://legacy.curtisint.com/products/Images/Energy%20Label/EFR376-CORAL-COM.pdf,EFR376-CORAL-COM
Galanz,(11A.) Compact all-refrigerators - manual defrost,BC-103-62H,GL35S5,3.4,220.0,3.4,No,No,https://www.galanz.com/us/card/1.7%C2%A0C.F.%20E-Star.pdf,GL35S5
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-88V-62H,GL31BK,3.8,320.0,3.0,No,No,https://www.galanz.com/us/card/3.1C.F.DOE.pdf,GL31BK
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-133V-62H,GL46TS5E,5.6,325.0,4.6,No,No,https://www.galanz.com/us/card/energy_label_GL46TS5E_BCD-133V-E-62H_E-Star.pdf,GL46TS5E
RCA,(11A.) Compact all-refrigerators - manual defrost,RFR320,RFR320-C-BLUE-COM,3.2,193.0,3.2,No,No,http://legacy.curtisint.com/products/Images/Energy%20Label/RFR320-C-BLUE.pdf,RFR320-C-BLUE-COM
RCA,(11A.) Compact all-refrigerators - manual defrost,RFR320,RFR320-B-RED-COM,3.2,193.0,3.2,No,No,http://legacy.curtisint.com/products/Images/Energy%20Label/RFR320-B-RED.pdf,RFR320-B-RED-COM
Microfridge,(12.) Compact refrigerator-freezers - partial automatic defrost,3.1MF7R,3.1MF7R,3.8,195.0,3.1,No,No,https://www.microfridge.com/en-us/product-resources/,3.1MF7R
MicroFridge with Safe Plug and First Defense,(12.) Compact refrigerator-freezers - partial automatic defrost,3.1MF7R,3.1MF7R,3.7,195.0,3.1,No,No,https://www.microfridge.com/en-us/product-resources/,3.1MF7R
Microfridge,(12.) Compact refrigerator-freezers - partial automatic defrost,3.1MF7RS,3.1MF7RS,3.8,195.0,3.1,No,No,https://www.microfridge.com/en-us/product-resources/,3.1MF7RS
MicroFridge by Danby with SAFE PLUG,(13A.) Compact all-refrigerators - automatic defrost,3.2MF4R,3.2MF4R,3.2,258.0,3.2,No,No,https://www.microfridge.com/en-us/product-resources/,3.2MF4R
