ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2393379,Avanti,FLW22V0W,,079841212200,Front Load,,"Steam Cycle,Hand Wash Cycle,Sanitize Option,Drum Clean",Residential,2.2,33.25,23.5,23.50,2.07,1.84,110,4.2,4.7,2713,,,,,,,,"Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",No,,,,Yes,ES_92257_FLD40V0W_022520221436163_8591520,03/01/2022,02/26/2022,"United States, Canada",ES_92257_FLW22V0W_022220220906807_9419145,No
2332833,Beko,BWM7200X,,8690842162633,Front Load,,"Hand Wash Cycle,Gentle Cycle,Steam feature, Anticrease+",Residential,1.9,,24.0,,2.07,1.84,84,3.6,4.7,2060,,,,,,,,,No,,,,No,,02/01/2019,01/31/2019,"United States, Canada",ES_1036108_BWM7200X_01312019211435_9275573,No
2400444,Beko,WFTV10733XC*,,8690842514876,Front Load,,Anti-Wrinkle,Residential,2.3,33.10,23.6,22.80,2.1,1.84,106,3.8,4.7,2578,,,,,,,,,No,,,,Yes,ES_1036108_HPD24414W_052420221513617_2247648,08/31/2022,08/23/2022,"United States, Canada",ES_1036108_WFTV10733XC*_081120221830592_2562561,No
2318078,Beko,WMY 10148 C2,,8690842009631,Front Load,,None,Residential,2.5,,23.6,,2.29,1.84,82,3.6,4.7,2655,,,,,,,,,No,,,No,Yes,"ES_1036108_DHP24412W_01202017205610_5770588,ES_1036108_DHP24400W_01202017210302_6182999",04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WMY 10148 C2_12192017095327_3193933,No
2318135,Beko,WTE 7604XLW0,,8690842002052,Front Load,,None,Residential,2,,23.6,,2.09,1.84,67,3.5,4.7,2013,,,,,,,,,No,None,None,No,No,,04/01/2015,04/10/2015,"United States, Canada",ES_1036108_WTE 7604XLW0_04082015142803_5956537,No
2393618,BLACK DECKER,BFLW27MW,,910064690716,Front Load,,None,Residential,2.7,,23.5,,2.76,1.84,101,3.2,4.7,2549,,,,,,,,,No,,,,,,02/25/2022,03/08/2022,"United States, Canada",ES_1126481_BFLW27MW_030820220219651_1280462,No
2332834,Blomberg,WM72200W,,8690842162633,Front Load,,"Hand Wash Cycle,Gentle Cycle,Steam feature, Anticrease+",Residential,1.9,,24.0,,2.07,1.84,84,3.6,4.7,2060,,,,,,,,,No,,,,No,,02/01/2019,01/31/2019,"United States, Canada",ES_1036108_WM72200W_01312019211451_9291862,No
2318129,Blomberg,WM 98200 SX2,,8690842009631,Front Load,,None,Residential,2.5,,23.6,,2.29,1.84,82,3.6,4.7,2655,,,,,,,,,No,,,No,Yes,"ES_1036108_DHP24412W_01202017205610_5770588,ES_1036108_DHP24400W_01202017210302_6182999",04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WM 98200 SX2_12192017095327_9271470,No
2400443,Blomberg,WM98220SX*,,8690842516788,Front Load,,Anti-Wrinkle,Residential,2.3,33.10,23.6,22.80,2.1,1.84,106,3.8,4.7,2578,,,,,,,,,No,,,,Yes,ES_1036108_DHP24404W_052420221513147_6756452,08/31/2022,08/23/2022,"United States, Canada",ES_1036108_WM98220SX*_081120221830200_9220326,No
2318079,Blomberg,WM 98400 SX2,,8690842009631,Front Load,,None,Residential,2.5,,23.6,,2.29,1.84,82,3.6,4.7,2655,,,,,,,,,No,,,No,Yes,"ES_1036108_DHP24412W_01202017205610_5770588,ES_1036108_DHP24400W_01202017210302_6182999",04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WM 98400 SX2_12192017095327_9320337,No
