Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Midea,Vented Gas,MDV170-VG042/F01-US13,MLTG45N4BWW,7.0,,16000.0,Yes,3.3,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,MLTE37A1BWW,6.7,240.0,,Yes,3.73,No,No
Midea,Vented Gas,MDD160-VG012/F0110E-US13,MLTG37A1BWW,6.7,,16000.0,Yes,3.3,No,No
ELEMENT,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,EATDE2767CW,6.7,240.0,,Yes,3.73,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,MD500E67/W-PR,6.7,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L23Q1AG1AG0,WED6150P**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L23Q1AG1AJ0,WGD6150P**,7.0,,21965.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG29,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG29,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG18,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L21Q2AG1AG1,WED5010L**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L21Q2AG1AG1,WED5050L**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L22Q2BG1AG1,MED4500M**,7.0,240.0,,Yes,3.73,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE47CG35***,DVE47CG35***,7.4,240.0,,Yes,3.73,No,No
ELEMENT,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,ETDE6727CW,6.7,240.0,,Yes,3.73,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M62E_1_TA,5TX62E9*T***,6.2,240.0,,Yes,3.73,No,No
Crosley,Vented Gas,M62G_4_TA,5TX62G9*T***,6.2,,22000.0,Yes,3.3,No,No
CROSLEY,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,CDME67104CX,6.7,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ16,WGD4810E**,7.0,,22037.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ16,WGD4815E**,7.0,,22037.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG17,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L18QAG1AJ10,WGD4950H**,7.0,,21956.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG28,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG17,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
KOOLMORE,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,FLC-3CWH,2.8,120.0,,Yes,2.08,No,No
Black+Decker,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,BCW27MW,2.8,120.0,,Yes,2.08,No,No
MAGIC CHEF,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,MCSCWD27S5,2.8,120.0,,Yes,2.08,No,No
Samsung,Vented Gas,DVG55CG71***,DVG55CG71***,7.4,,20000.0,Yes,3.3,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH200-V012/A01HS-US,MLE45N1BWW,7.5,240.0,,Yes,3.73,No,No
Criterion,Vented Gas,MDD160-VG012/F0110E-US13,CDG41N1AW,6.7,,16000.0,Yes,3.3,No,No
Midea,Vented Gas,MDD160-VG062/F01-US13,MLG41N1AWW,6.7,,16000.0,Yes,3.3,No,No
Comfee,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,CLC27N3AWW,2.7,120.0,,Yes,2.08,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ZTEE9***176+,7.0,240.0,,Yes,3.73,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ZDE4B***176+,7.0,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ADE4***177T***,6.9,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ATEE9***176+,7.0,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ADE3S***175+,7.0,240.0,,Yes,3.73,No,No
GE,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",DSKS333EC3WW,DSKP333EXXXX,3.6,120.0,,Yes,3.61,No,No
GE,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",DSKS433EB4WW,DSKS433EXXXX,3.6,240.0,,Yes,3.27,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GFDS170EH0WW,GFDN160EXXXX,7.5,240.0,,Yes,3.73,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTD33EASK0WW,GTD33EA*K***,7.2,240.0,,Yes,3.73,No,No
GE,Vented Gas,GTD42GASJ0WW,GTD42GASJXXX,7.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,GTD42GASJ0WW,GTD45GASJXXX,7.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,M72G_4_JC,GTD42GA*J***,7.2,,22000.0,Yes,3.3,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTD42EASJ0WW,GTD42EASJXXX,7.2,240.0,,Yes,3.73,No,No
Hotpoint,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTX42EASJ0WW,HTX21EA*K***,6.2,240.0,,Yes,3.73,No,No
Hotpoint,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTX42EASJ0WW,HTX24EA*K***,6.2,240.0,,Yes,3.73,No,No
GE,Vented Gas,GTX42GASJ0WW,GTX22GA*K***,6.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,M62G_4_JC,GTX42GA*J***,6.2,,22000.0,Yes,3.3,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M62E_1_P,GTX52EA*P***,6.2,240.0,,Yes,3.73,No,No
Mabe,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M60E_1_M,CLME71214BAT0,6.0,240.0,,Yes,3.73,No,No
GE,Vented Gas,M60G_4_M,GUD27GSPM***,6.0,,18000.0,Yes,3.3,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M60E_1_MA,GUV27ESSM***,6.0,240.0,,Yes,3.73,No,No
Conservator,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M62E_1_T,NTX62E8*T***,6.2,240.0,,Yes,3.73,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M72E_1_T,XTD72E8*T***,7.2,240.0,,Yes,3.73,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50BG83***,DVE50BG83***,7.5,240.0,,Yes,3.73,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE46BG65***,DVE46BG65***,7.5,240.0,,Yes,3.73,No,No
Samsung,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",DV25B69**E*,DV25B69**E*,4.0,240.0,,Yes,3.27,No,No
Samsung,Vented Gas,DVG45B6305*,DVG45B6305*,7.5,,20000.0,Yes,3.3,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45B6305*,DVE45B6305*,7.5,240.0,,Yes,3.73,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45B63***,DVE45B63***,7.5,240.0,,Yes,3.73,No,No
Samsung,Vented Gas,DVG50R54***,DVG50R54***,7.4,,20000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DVG45T34***,DVG45T34***,7.5,,20000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DVG50M74***,DVG50M74***,7.4,,22000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DV40J300*G*,DV40J300*G*,7.2,,22000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DV56H90**G*,DV56H91**G*,9.5,,22000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DV50F9A8G**,DV48H74**G*,7.4,,22000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DV45H63**G*,DV42H50**G*,7.5,,22000.0,Yes,3.3,No,No
SAMSUNG,Vented Gas,DV45H63**G*,DV42H56**G*,7.5,,22000.0,Yes,3.3,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45T34***,DVE45T34***,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50R52***,DVE50R52***,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50R54***,DVE50R54***,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45R63***,DVE45R63***,7.5,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50M74***,DVE50M74***,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV45K71**E*,DV45K71**E*,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV40J300*E*,DV40J300*E*,7.2,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV50F9A8E**,DV50F9A8E**,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV50F9A8E**,DV48H74**E*,7.4,240.0,,Yes,3.73,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV42H54**E*,DV42H54**E*,7.5,240.0,,Yes,3.73,No,No
SUMMIT,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,SPWD2202W**,2.7,120.0,,Yes,2.08,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG0,MED6230H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG0,WED5100H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,A18BAI1AI0,WGD5100H**,7.4,,20438.0,Yes,3.3,No,No
Maytag,Vented Gas,A18BBI1AI0,MGD6230RH**,7.4,,20763.0,Yes,3.3,No,No
Kenmore,Vented Gas,L15RCF1AJ3,7022*51+,6.5,,22087.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14QCG1AJ4,7513*41+,7.0,,21917.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14DCG1AJ4,7613*41*,7.0,,21759.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14DCG1AJ4,7713*41*,7.0,,21759.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14DCG1AJ5,7713*41*,7.0,,22069.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14DCG1AJ6,7613*41*,7.0,,21865.0,Yes,3.3,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L17QEG1AG0,CED7006G**,7.0,240.0,,Yes,3.73,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L17QEG1AG2,CED7006G**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L18QBG1AI1,MGDC465H**,7.0,,21906.0,Yes,3.3,No,No
Maytag,Vented Gas,L18QBG1AJ4,MGDC465H**,7.0,,22328.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L18LAB1AA0,WET4124H**,3.4,120.0,,Yes,3.61,No,No
Whirlpool,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L18LAB1AA1,WET4124H**,3.4,120.0,,Yes,3.61,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18YAC1AE1,WETLV27H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L16QAG1AJ4,WGD4916F**,7.0,,21706.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L16QAG1AJ5,WGD4616F**,7.0,,21928.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15TAG1AG1,WED4975E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15TAG1AJ1,WGD4975E**,7.0,,22109.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ1,WGD4850H**,7.0,,21653.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ1,WGD4950H**,7.0,,21653.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ2,WGD4950H**,7.0,,22149.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ2,WGD4850H**,7.0,,22149.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ3,WGD4950H**,7.0,,22007.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ3,WGD7000D**,7.0,,21766.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ4,WGD7000D**,7.0,,21886.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ5,WGD7000D**,7.0,,21714.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ7,WGD7000D**,7.0,,21943.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14DAG1AJ8,WGD7000D**,7.0,,21657.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A18KAC1AH0,WGT4027H**,5.9,,15814.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A17E2AI1AI0,WGD7500G**,7.4,,20019.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A17E2AI1AI2,WGD7500G**,7.4,,20318.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14QAG1AJ5,WGD5000D**,7.0,,22183.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16XAI1AI0,WGD7590F**,7.4,,19558.0,Yes,3.3,No,No
Whirlpool,"Ventless Electric, Combination Washer-Dryer",C18HAT11AN0,WFW8620H**,5.0,120.0,,Yes,2.08,No,No
Whirlpool,"Ventless Electric, Combination Washer-Dryer",C18HAT11AN0,WFW9620H**,5.0,120.0,,Yes,2.08,No,No
Whirlpool,"Ventless Electric, Combination Washer-Dryer",C18HAQ13AM0,WFC9820H**,4.5,120.0,,Yes,2.08,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG2,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG3,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG4,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG6,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,A14CAL1AI3,WGD8500D**,8.8,,20329.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A14CAL1AI4,WGD8000D**,8.8,,20340.0,Yes,3.3,No,No
Maytag,Vented Gas,L14CBL1AJ5,MGDB855D**,8.8,,20615.0,Yes,3.3,No,No
Maytag,Vented Gas,L14CBL1AJ6,MGDB835D**,8.8,,20314.0,Yes,3.3,No,No
Maytag,Vented Gas,L14CBL1AJ6,MGDB855D**,8.8,,20314.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI3,WGD7505F**,7.4,,20265.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI3,WGD75HEF**,7.4,,20265.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI3,WGD92HEF**,7.4,,20265.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI3,WGD8540F**,7.4,,20265.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI4,WGD90HEF**,7.4,,20614.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI4,WGD85HEF**,7.4,,20614.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI4,WGD92HEFB**,7.4,,20614.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI5,WGD75HEF**,7.4,,20426.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI5,WGD7540F**,7.4,,20426.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A16AAI1AI5,WGD8540F**,7.4,,20426.0,Yes,3.3,No,No
Maytag,Vented Gas,A16ABI1AI3,MGD8200F**,7.4,,20209.0,Yes,3.3,No,No
Maytag,Vented Gas,A16ABI1AI5,MGD8200F**,7.4,,20217.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A17E2AI1AG2,WED7500G**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A17E2AI1AG5,WED7500G**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18KAC1AE2,WET4027H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L03NAA1AA3,LDR3822P**,3.3,120.0,,Yes,3.61,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13QAG1AG5,WED49STB**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DAG1AG5,WED7000D**,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DCG1AG6,6713*41*,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QAG1AG4,WED5000D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QAG1AG6,WED5000D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QAG1AG9,WED5000D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG8,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG9,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG10,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG12,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG13,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG14,MEDX655D**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L14QBG1AJ3,MGDC555D**,7.0,,22308.0,Yes,3.3,No,No
Maytag,Vented Gas,L14QBG1AJ4,MGDX655D**,7.0,,21870.0,Yes,3.3,No,No
Maytag,Vented Gas,L14QBG1AJ5,MGDX655D**,7.0,,21614.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QCG1AG3,6513*41+,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG9,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG10,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG10,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG11,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG12,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG14,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG14,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG14,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG16,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ6,WGD4815E**,7.0,,21874.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ8,WGD4810E**,7.0,,21732.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ8,WGD4815E**,7.0,,21732.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ9,WGD4915E**,7.0,,21006.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QBG1AG9,MEDC215E**,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QCG1AG4,6233*51+,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QCG1AG4,6234*51+,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG7,6022*51+,6.5,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG10,6012*51+,6.5,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG11,6022*51+,6.5,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG10,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG11,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG14,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG16,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Amana,Vented Gas,L15RDF1AJ8,NGD4655E**,6.5,,21518.0,Yes,3.3,No,No
Amana,Vented Gas,L15RDF1AJ10,NGD4655E**,6.5,,22015.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15WAD1AG3,WED4985E**,6.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG3,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG4,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG5,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG3,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG5,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Roper,Vented Gas,L16RGF1AJ2,RGD4516F**,6.5,,21784.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG4,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Kenmore,Vented Gas,L15QCG1AJ6,7233*51*,7.0,,22309.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16E2BI1AG0,MEDB765F**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16E2BI1AG2,MEDB765F**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16E2BI1AG5,MEDB765F**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16E2BI1AG6,MEDB765F**,7.4,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L15QBG1AJ4,MGDC415E**,7.0,,21946.0,Yes,3.3,No,No
Whirlpool,"Ventless Electric, Combination Washer-Dryer",C18FAP12AP0,WFC8090G**,2.8,240.0,,Yes,2.08,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13QBG1AG3,MEDX6STB**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L13QBG1AJ1,MGDX6STB**,7.0,,21988.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15WCD1AG1,6521*61+,6.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16YAC1AE1,WETLV27F**,5.9,240.0,,Yes,3.73,No,No
Crosley,Vented Gas,L17QEG1AJ0,CGD7006G**,7.0,,21563.0,Yes,3.3,No,No
Kenmore,Vented Gas,L16QCG1AJ0,7523*61*,7.0,,21953.0,Yes,3.3,No,No
Maytag,Vented Gas,L16DBG1AJ0,MGDB766F**,7.0,,21482.0,Yes,3.3,No,No
Maytag,Vented Gas,L14DBG1AJ2,MGDB755D**,7.0,,21378.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L16NCA1AA0,8442*61*,3.3,120.0,,Yes,3.61,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15SAD1AG1,WED4995E**,6.0,240.0,,Yes,3.73,No,No
