Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Whirlpool,Vented Gas,A15UAL2AI0,WGD8700E**,8.8,,20472.0,Yes,3.3,No,No
Kenmore,Vented Gas,L15WCD1AJ1,7521*61+,6.0,,22116.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15WAD1AJ0,WGD4985E**,6.0,,21740.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L16YAC1AH0,WGTLV27F**,5.9,,16243.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L20Q2BG1AG0,MED6200K**,7.0,240.0,,Yes,3.73,No,No
Kenmore,Vented Gas,A20BCL1AI0,7111*20*,7.4,,20229.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ5,WGD4950H**,7.0,,22511.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG18,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG18,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG8,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG16,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QAG1AG11,WED5000D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG1,MED6230RH**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,A18KAC1AH2,WGT4027H**,5.9,,15723.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14QAG1AJ7,WGD5000D**,7.0,,22017.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG7,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,A18BAI1AI1,WGD5100H**,7.4,,20174.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A18BAI1AI1,WGD6120H**,7.4,,20174.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG19,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG19,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG9,WED4850H**,7.0,240.0,,Yes,3.73,No,No
