Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FDSP4501****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FDSH4501A_EG.pdf,FDSP4501....
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FDSP450L****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FDSH450LA_EG.pdf,FDSP450L....
Summit,Standard size dishwasher,DWT 51600 FBI,DW2435SS**,234.0,2.7,12.0,No,No,https://eguides.fsiworldwide.com/label/325.pdf,DW2435SS..
SUMMIT,Standard size dishwasher,DW21UT22N224,DW183WADA**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/555.pdf,DW183WADA..
SUMMIT,Standard size dishwasher,DW21UT22N224,LDW18WA**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/556.pdf,LDW18WA..
SUMMIT,Standard size dishwasher,DW21UT22N224,ADADW18W**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/558.pdf,ADADW18W..
SUMMIT,Standard size dishwasher,DW21UT22N224,DW184BADA**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/559.pdf,DW184BADA..
SUMMIT,Standard size dishwasher,DW21UT22N224,LDW18BA**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/560.pdf,LDW18BA..
SUMMIT,Standard size dishwasher,DW21UT22N224,DW185SSADA**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/563.pdf,DW185SSADA..
SUMMIT,Standard size dishwasher,DW21UT22N224,LDW18SSA**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/564.pdf,LDW18SSA..
SUMMIT,Standard size dishwasher,DW21UT22N224,LDW18NTA**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/568.pdf,LDW18NTA..
SUMMIT,Standard size dishwasher,DW21UT22N224,ADADW18NT**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/570.pdf,ADADW18NT..
Summit,Standard size dishwasher,DW11UT22T124,DW242WADA**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/419.pdf,DW242WADA..
Summit,Standard size dishwasher,DW11UT22T124,DW243BADA**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/420.pdf,DW243BADA..
Summit,Standard size dishwasher,DW11UT22T124,DW244SSADA**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/435.pdf,DW244SSADA..
Summit,Standard size dishwasher,DW11UT22T124,DW245NTADA**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/422.pdf,DW245NTADA..
Summit,Standard size dishwasher,DW11UT22T124,LDW24WA**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/427.pdf,LDW24WA..
Summit,Standard size dishwasher,DW11UT22T124,LDW24BA**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/425.pdf,LDW24BA..
Summit,Standard size dishwasher,DW11UT22T124,ADADW24W**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/428.pdf,ADADW24W..
Summit,Standard size dishwasher,DW11UT22T124,ADADW24B**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/426.pdf,ADADW24B..
Summit,Standard size dishwasher,DW11UT22T124,ADADW24SS**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/431.pdf,ADADW24SS..
Comfee,Compact dishwasher,WQP4-2601C-US,CDC17P0A**,130.0,1.4,1.0,No,No,https://www.amazon.com/dp/B092227VYL,CDC17P0A..
Bosch,Standard size dishwasher,SHE863WF2N,SHE863WF**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHE863WF..
Bosch,Standard size dishwasher,SHX88PW55N,SHP88PW5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHP88PW5..
Bosch,Standard size dishwasher,SHX88PW55N,SHX88PW5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHX88PW5..
Bosch,Standard size dishwasher,SHX88PW55N,SHV88PW5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHV88PW5..
Bosch,Standard size dishwasher,SHX89PW55N,SHE89PW5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHE89PW5..
Bosch,Standard size dishwasher,SHE4AV5**,SHE84AWG5N,269.0,3.2,12.0,No,No,http://www.bshenergyguides.com,SHE84AWG5N
Bosch,Standard size dishwasher,SHE53T5###,SHS63VL***,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHS63VL...
Bosch,Standard size dishwasher,SHE53T5###,SHE53T5###,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHE53T5...
Bosch,Standard size dishwasher,SHE68TL5##,SHE68T5###,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHE68T5...
Bosch,Standard size dishwasher,SHE68TL5##,SHV68TL###,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHV68TL...
Bosch,Standard size dishwasher,SHE68TL5##,SHP68TL###,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHP68TL...
Bosch,Standard size dishwasher,SHE68TL5##,SHX78U5###,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHX78U5...
Bosch,Standard size dishwasher,SHE7ER5#UC,SHE7ER5#UC,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHE7ER5.UC
Bosch,Standard size dishwasher,SHE7ER5#UC,SHV7ER5#UC,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHV7ER5.UC
Bosch,Standard size dishwasher,SHE7ER5#UC,SHX7ER5#UC,259.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHX7ER5.UC
Bosch,Standard size dishwasher,SHX4ATF5UC,SHVM4AYB3N,269.0,3.2,12.0,No,No,http://www.bshenergyguides.com,SHVM4AYB3N
Bosch,Standard size dishwasher,SHE863WF2N,SHP865WF**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHP865WF..
Bosch,Standard size dishwasher,SHE863WF2N,SHP865WD**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHP865WD..
Bosch,Standard size dishwasher,SHP865WD**,SHV865WG3N,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com,SHV865WG3N
Bosch,Standard size dishwasher,SHE68TL5**,SHX865YN**,269.0,2.9,16.0,No,No,http://www.bshenergyguides.com,SHX865YN..
Bosch,Standard size dishwasher,SHPM78ZO**,SHPM78ZO**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com,SHPM78ZO..
