Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
TCL,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",TWC-06CRD1/L1U(ES),6W9ER1-A,6000.0,490.0,12.1,No,No,By annual report date
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWC-08CRD1/L0U(ES),8W3ER1-A,8000.0,640.0,12.0,No,No,By annual report date
TCL,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",TWAC-15CRA1/K8U(ES),15W3E1-A,15000.0,1270.0,11.8,No,No,By annual report date
TCL,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",TWAC-15CRA1/K8U(ES),15W9E1-A,15000.0,1270.0,11.8,No,No,By annual report date
TCL,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",TWC-05CMD1/K0U,5WR1-A,5000.0,450.0,11.0,No,No,By annual report date
TCL,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",TWC-06CRA1/J9U,W6W31,6000.0,540.0,11.0,No,No,By annual report date
TCL,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",TTW-08CRA1/J6U(ES),W8T9E1-A,8000.0,710.0,10.6,No,No,By annual report date
TCL,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",TTW-12CRA1/J6U(ES),W12T9E1-A,12000.0,1140.0,10.5,No,No,By annual report date
Friedrich,"(12) With reverse cycle, without louvered sides, and less than 14,000 Btu/h",WHT12A33A,WHT12A33A,11100.0,1180.0,9.3,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",WCT12A30A,WET12A33A,12000.0,1250.0,9.5,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",WCT10A30A,WET10A33A,10000.0,940.0,10.6,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",WCT12A10B,WCT12A10B,11600.0,1100.0,10.5,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",WCT10A10A,WCT10A10A,10000.0,940.0,10.6,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",WCT08A10A,WCT08A10A,8000.0,750.0,10.6,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(11) With reverse cycle, with louvered sides, and less than 20,000 Btu/h",KHS12A33A,KHS12A33A,12000.0,1100.0,10.8,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",KCQ08A10A,KEQ08A11A,7700.0,690.0,11.0,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
