ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2329580,Comfort Aire,RADS-101Q,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,625,No,,,,,,,,,11/01/2018,11/08/2018,"United States, Canada",ES_17771_RADS-101Q_11072018110307_70204436,No,RADS-101Q
2363239,Comfort Aire,RADS-101R,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,625,No,,,,,,,,,07/01/2020,07/20/2020,"United States, Canada",ES_0017771_RADS-101R_07212020011035_80050547,No,RADS-101R
2420997,ABL,ATTW-12CRA2,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),10.0,5,900,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,03/06/2023,03/13/2023,"United States, Canada",ES_1148590_ATTW-12CRA2_03102023105425_5517846,No,ATTW-12CRA2
2404146,ACEKOOL,ACE-WAC8K-I,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",Yes,No,R-32,R-32 (GWP:675 | Lower GWP),15.0,38,400,No,,,,,,,,,10/19/2022,11/04/2022,United States,ES_1148173_ACE-WAC8K-I_11022022105115_240899,No,ACE-WAC8K-I
2349341,amazonbasics,B07Y2CND3Q,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,11/01/2019,10/16/2019,"United States, Canada",ES_0021964_B07Y2CND3Q_10242019112704_80021283,No,B07Y2CND3Q
2404717,Arctic King,KAW08R1BWT,,810040942815,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,11/10/2022,11/10/2022,"United States, Canada",ES_1138537_KAW08R1BWT_11182022085240_80147341,No,KAW08R1BWT
2404718,Arctic King,KAW10R1BWT,,810040942822,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,625,No,,,,,,,,,11/10/2022,11/10/2022,"United States, Canada",ES_1138537_KAW10R1BWT_11182022085240_80147341,No,KAW10R1BWT
2404719,Arctic King,KAW12R1BWT,,810040942839,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,11/10/2022,11/10/2022,"United States, Canada",ES_1138537_KAW12R1BWT_11182022085240_80147341,No,KAW12R1BWT
2334319,Arctic King,KAW15R1AWT,,,,,,,15100,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,960,No,,,,,,,,,03/01/2019,03/07/2019,"United States, Canada",ES_1138537_KAW15R1AWT_02282019105905_70217291,No,KAW15R1AWT
2404720,Arctic King,KAW15R1BWT,,810040942846,,,,,14500,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.3,6,962,Yes,,,,,,,,,11/10/2022,11/10/2022,"United States, Canada",ES_1138537_KAW15R1BWT_11182022085240_80147341,No,KAW15R1BWT
2334223,Arctic King,KAW18R2AWT,,,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,1144,No,,,,,,,,,03/05/2019,03/06/2019,"United States, Canada",ES_1138537_KAW18R2AWT_03062019042053_6053149,No,KAW18R2AWT
2452994,Arctic King,KAW18R2AWT,,,,,,,18000,,Through the Wall,,,No,None,"9. Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,27,1144,No,,,,,,,,,03/30/2023,03/30/2023,"United States, Canada",ES_1138537_KAW18R2AWT7_04032023141605_80162432,No,KAW18R2AWT
2334225,Arctic King,KAW25R2AWT,,,,,,,25000,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,No,,,10.3,10,1820,No,,,,,,,,,03/05/2019,03/06/2019,"United States, Canada",ES_1138537_KAW25R2AWT_03062019042155_6115012,No,KAW25R2AWT
2452995,Arctic King,KAW25R2AWT,,,,,,,25000,,Through the Wall,,,No,None,"10. Without reverse cycle, without louvered sides, and 20,000 Btu/h or more",No,No,,,10.3,10,1820,No,,,,,,,,,03/30/2023,03/30/2023,"United States, Canada",ES_1138537_KAW25R2AWT7_04032023141605_80162432,No,KAW25R2AWT
2327872,Arctic King,MWHUK-06CRN8-BCL1,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-06CRN8-BCL1_10072018120603_70200496,No,MWHUK-06CRN8-BCL1
2327873,Arctic King,MWHUK-08CRN8-BCL0,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-08CRN8-BCL0_10072018120602_70200496,No,MWHUK-08CRN8-BCL0
2363242,Arctic King,MWHUK-08CRN8-BCL0,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,06/01/2020,07/14/2020,"United States, Canada",ES_1138537_MWHUK-08CRN8-BCL0_07212020011035_80050547,No,MWHUK-08CRN8-BCL0
2327874,Arctic King,MWHUK-10CRN8-BCL0,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,625,No,,,,,,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-10CRN8-BCL0_10072018120601_70200496,No,MWHUK-10CRN8-BCL0
2390574,Arctic King,MWHUK-10CRN8-BCL0,,687636000040,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,625,No,,,,,,,,,01/17/2022,01/17/2022,"United States, Canada",ES_1138537_MWHUK-10CRN8-BCL0_01172022024302_80111401,No,MWHUK-10CRN8-BCL0
2327875,Arctic King,MWHUK-12CRN8-BCL0,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-12CRN8-BCL0_10072018120609_70200496,No,MWHUK-12CRN8-BCL0
2363243,Arctic King,MWHUK-12CRN8-BCL0,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,06/01/2020,07/14/2020,"United States, Canada",ES_1138537_MWHUK-12CRN8-BCL0_07212020011035_80050547,No,MWHUK-12CRN8-BCL0
2390575,Arctic King,MWHUK-12CRN8-BCL0,,687636000064,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,01/17/2022,01/17/2022,"United States, Canada",ES_1138537_MWHUK-12CRN8-BCL0_01172022024302_80111401,No,MWHUK-12CRN8-BCL0
2327876,Arctic King,MWHUK-15CRN8-BCK8,,,,,,,15100,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,960,No,,,,,,,,,10/01/2018,09/30/2018,"United States, Canada",ES_1138537_MWHUK-15CRN8-BCK8_10072018120622_70200496,No,MWHUK-15CRN8-BCK8
2371319,Arctic King,WWK08CW01N,,810004816008,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,11.4,5,526,Yes,Wi-Fi,"D - Open standards-based communication port(s) on the appliance in addition to a, b, or c",OpenADR,,,,,No,12/17/2020,12/18/2020,"United States, Canada",ES_1138537_WWK08CW01N_12232020121854_80066460,No,WWK08CW01N
2376081,Arctic Wind,1AW15000EA,,,,,,,15000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,953,No,,,,,,,,,03/30/2021,04/14/2021,"United States, Canada",ES_1121980_1AW15000EA_041320212045570_4530889,No,1AW15000EA
2376083,Arctic Wind,1AW18000EA,,,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,1144,No,,,,,,,,,03/30/2021,04/14/2021,"United States, Canada",ES_1121980_1AW18000EA_041320212045845_5226841,No,1AW18000EA
2376085,Arctic Wind,1AW24000EA,,,,,,,24000,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",No,No,,,10.3,10,1748,No,,,,,,,,,03/30/2021,04/14/2021,"United States, Canada",ES_1121980_1AW24000EA_041320212046596_9078634,No,1AW24000EA
2369754,Bevoi,BEVTTW121C,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,11/17/2020,11/20/2020,"United States, Canada",ES_1145666_BEVTTW121C_11202020115503_3303528,No,BEVTTW121C
2374481,Black + Decker,BD06WT6,,819813019242,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,01/15/2021,01/28/2021,"United States, Canada",ES_1126481_BD06WT6_02282021123418_80067469,No,BD06WT6
