ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2453174,FORTE,F9UFESC450PR,,810119151070,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,8.7,15.3,452,496,11,,,No,03/30/2023,04/11/2023,"United States, Canada",ES_1145610_F9UFESC450PR_03292023113240_4428201,No
2346053,Frigidaire,FFFH20F3V*,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,20,35.1,478,531,10,,,No,09/30/2019,09/09/2019,"United States, Canada",ES_1021080_FFFH20F3V*_09092019052458_80017329,No
2365215,Frigidaire,FFFH20F3W*,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,20,35.1,478,531,10,,,No,09/15/2020,08/26/2020,"United States, Canada",ES_1021080_FFFH20F3W*_08282020014250_80053023,No
2383662,Frigidaire,FFUE2022A*,,012505648410,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,20,35.1,399,531,25,R-600a,R-600a (GWP:3 | Lower GWP),No,08/23/2021,08/23/2021,"United States, Canada",ES_1021080_FFUE2022A*_08232021044020_80096939,Yes
2387534,Frigidaire,FFUE2024A*,,012505648427;012505648434,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,20,35.1,424,531,20,,,No,11/01/2021,10/28/2021,"United States, Canada",ES_1021080_FFUE2024A*_11032021050856_80101941,Yes
2387535,Frigidaire,FFUF2021A*,,012505648519,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,20,35.1,478,531,10,,,No,11/15/2021,11/02/2021,"United States, Canada",ES_1021080_FFUF2021A*_11032021050856_80101939,No
2389541,Frigidaire,FFUM2021A*,,012505648496,Upright Freezer,8 - Upright freezers with manual defrost,Manual,No,No,No,No,20.5,36.1,355,395,10,,,No,07/01/2022,12/17/2021,"United States, Canada",ES_1021080_FFUM2021A*_12202021022404_80108118,No
2361077,Frigidaire,FPFU19F8W*,,012505647246,Upright Freezer,9I - Upright freezers with automatic defrost with automatic icemaker,Automatic,No,No,Yes,Yes,18.9,33.2,521,598,14,R-600a,R-600a (GWP:3 | Lower GWP),No,07/01/2020,05/27/2020,"United States, Canada",ES_1021080_FPFU19F8W*_05282020051211_80044038,Yes
2453173,FULGOR MILANO,FM4CF18IFBI,",FM4CF18IFBIR,",616833175169;616833175176,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,8.7,15.3,452,496,11,,,No,03/30/2023,04/11/2023,"United States, Canada",ES_1145610_FM4CF18IFBI_03292023113240_6472742,No
2303322,Gaggenau,RF411704,",,Network Communication",825225922643,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,8.6,15.1,418,494,17,,,No,09/01/2017,03/06/2017,"United States, Canada",ES_0031649_RF411704_03082017044344_70122368,No
2365307,Gaggenau,RF411705,,825225960911,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,8.6,15.1,404,494,20,R-600a,R-600a (GWP:3 | Lower GWP),No,10/01/2020,08/25/2020,"United States, Canada",ES_0031649_RF411705_08312020054816_80044911,No
2219310,Gaggenau,RF461701,,825225900337,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,12.2,21.5,472,557,17,,,No,10/15/2014,09/10/2014,"United States, Canada",ES_0031649_RF461701_06182014123847_2737291,No
2303324,Gaggenau,RF461704,",,Network Communication",825225922650,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,12.2,21.4,443,556,22,,,No,09/01/2017,03/06/2017,"United States, Canada",ES_0031649_RF461704_03082017044344_70122368,No
2365310,Gaggenau,RF461705,,825225960928,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,12.2,21.4,435,556,23,R-600a,R-600a (GWP:3 | Lower GWP),No,10/01/2020,08/25/2020,"United States, Canada",ES_0031649_RF461705_08312020054816_80044911,No
2233415,Gaggenau,RF463702,",,Reverse Door",825225803126,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,11.3,19.9,494,541,10,,,No,09/15/2014,08/11/2014,"United States, Canada",ES_0031649_RF463702_08082014030531_2752705,No
2233416,Gaggenau,RF463703,",,Reverse Door",825225900344,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,11.3,19.9,494,541,10,,,No,09/15/2014,08/11/2014,"United States, Canada",ES_0031649_RF463703_08082014030531_2752705,No
2303332,Gaggenau,RF463704,",,Network Communication",825225922667,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,11.2,19.8,457,540,17,,,No,09/01/2017,03/06/2017,"United States, Canada",ES_0031649_RF463704_03082017044344_70122368,No
2303333,Gaggenau,RF463705,",,Reverse Door, Network Communication",825225922674,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,11.2,19.8,457,540,17,,,No,09/01/2017,03/06/2017,"United States, Canada",ES_0031649_RF463705_03082017044344_70122368,No
2365305,Gaggenau,RF463706,",RF463707,Cosmetic",825225961154,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,11.2,19.8,454,540,17,R-600a,R-600a (GWP:3 | Lower GWP),No,10/01/2020,08/25/2020,"United States, Canada",ES_0031649_RF463706_08312020054816_80044911,No
2365353,ALPHA,RDVC138WE,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.8,24.4,394,439,10,,,No,09/01/2020,07/01/2020,"United States, Canada",ES_1107227_RDVC138WE_09012020113049_80047654,No
2223895,Amana,AZB33X20D*,,883049341514,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,19.7,34.6,473,527,10,,,No,11/24/2014,10/29/2014,"United States, Canada",ES_0022856_AZB33X20D*_10292014105615_2774957,No
2395819,APPLIANCE BASICS,HS772FWENW,,202201913392,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,21,37,492,547,10,,,No,04/28/2022,04/28/2022,"United States, Canada",ES_1127347_HS772FWENW_05122022065528_5550001_,No
2361431,Arctic King,AC05ESWCR1RCM,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,5,8.8,196,218,10,,,No,06/10/2020,06/08/2020,"United States, Canada",ES_1030337_AC05ESWCR1RCM_06082020090650_7210221,No
2361432,Arctic King,AC35ESKCR1RCM,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,3.5,6.2,174,194,10,,,No,06/10/2020,06/08/2020,"United States, Canada",ES_1030337_AC35ESKCR1RCM_06082020090640_7200708,No
2376687,Arctic King,AC7ETWCR1RCM,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,7,12.3,225,251,10,,,No,04/25/2021,05/02/2021,Canada,ES_1030337_AC7ETWCR1RCM_050320210252845_8837106,No
2291926,Arctic King,ACFM102ADW,",ACFM102ADOT,",,Chest Freezer,10 - Chest freezers and all other freezers except compact freezers,Manual,No,No,No,No,10.2,18,214,239,10,,,No,03/15/2017,03/06/2017,"United States, Canada",ES_1030337_ACFM102ADW_03062017084054_9654106,No
2333367,Arctic King,ARU030S1ARSS,,817986026562,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,3,5.3,240,272,12,,,No,10/09/2021,10/15/2021,"United States, Canada",ES_1030337_ARU030S1ARSS_02122019062545_2745718,No
2333368,Arctic King,ARU030S1ARWW,,817986026555,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,3,5.3,240,272,12,,,No,10/09/2021,10/15/2021,"United States, Canada",ES_1030337_ARU030S1ARWW_02122019062527_2727762,No
2383256,Arctic King,ARU03M2AWW,,,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,3,5.3,240,272,12,,,No,08/06/2021,08/11/2021,"United States, Canada",ES_1030337_ARU03M2AWW_080520212040634_2226959,No
2363422,Arctic King,AU83ETWBR1RCM,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,8.3,14.5,317,353,10,,,No,07/20/2020,07/23/2020,"United States, Canada",ES_1030337_AU83ETWBR1RCM_07242020024616_8776483,No
2366125,Arctic King,AU83ETWBR1RCM,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,8.3,14.6,317,354,10,,,No,09/21/2020,09/11/2020,"United States, Canada",ES_1030337_AU83ETWBR1RCM_09222020021817_5550000_,No
2349350,Arctic King,AUFM011AEW,,,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,1.1,1.9,215,242,11,,,No,10/31/2019,10/30/2019,"United States, Canada",ES_1030337_AUFM011AEW_10282019121152_80021683,No
2210429,Arctic King,AUFM021AEW,,,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,2.1,3.7,219,258,15,,,No,04/25/2014,03/20/2014,United States,ES_1030337_AUFM021AEW_05052014233909_3149145,No
2393043,Arctic King,MRU03M2ABB,,810004814387,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,3,5.3,240,272,12,R-600a,R-600a (GWP:3 | Lower GWP),No,02/09/2022,02/16/2022,"United States, Canada",ES_1030337_MRU03M2ABB_021520222226698_2139458,No
2324561,Arctic King,WHS-109FW1,,814982018942,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,3,5.3,240,272,12,R-600a,R-600a (GWP:3 | Lower GWP),No,02/09/2022,02/16/2022,"United States, Canada",ES_1030337_WHS-109FW1_08062018074204_1324651,No
2255903,Arctic King,WHS-129C1WSB,"Freezer,WHS-129C1WSB,",,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,3,5.3,240,272,12,,,No,01/01/2016,12/31/2015,"United States, Canada",ES_1030337_WHS-129C1WSB_12312015063455_3695718,No
2337966,Arctic Wind,AUF-1720*,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,17,29.9,438,486,10,,,No,05/05/2019,05/10/2019,"United States, Canada",ES_1121980_AUF-1720*_05102019052321_5801306,No
