ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2403154,XO,XOU15WGBSL,,814830014010,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,3.3,3.3,143,182.0,21.0,,,No,,,,,10/20/2022,10/09/2022,"United States, Canada",ES_1147599_XOU15WGBSL_10172022113747_80142904,No,XOU15WGBSL
2403155,XO,XOU15WGBSR,,814830014027,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,3.3,3.3,143,182.0,21.0,,,No,,,,,10/20/2022,10/09/2022,"United States, Canada",ES_1147599_XOU15WGBSR_10172022113747_80142904,No,XOU15WGBSR
2397106,XO,XOU15WGOL,,814830011620,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,3.3,3.3,143,182.0,21.0,,,No,,,,,05/27/2022,02/16/2022,"United States, Canada",ES_1147599_XOU15WGOL_06012022124524_80107959,No,XOU15WGOL
2397107,XO,XOU15WGOR,,814830011637,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,3.3,3.3,143,182.0,21.0,,,No,,,,,05/27/2022,02/16/2022,"United States, Canada",ES_1147599_XOU15WGOR_06012022124524_80107959,No,XOU15WGOR
2397104,XO,XOU15WGSL,,814830011248,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,3.3,3.3,143,182.0,21.0,,,No,,,,,05/27/2022,02/16/2022,"United States, Canada",ES_1147599_XOU15WGSL_06012022124524_80107959,No,XOU15WGSL
2397105,XO,XOU15WGSR,,814830011255,Compact Cooler,3 - Freestanding Compact Cooler,,Yes,No,No,No,No,34.1,23.8,3.3,3.3,143,182.0,21.0,,,No,,,,,05/27/2022,02/16/2022,"United States, Canada",ES_1147599_XOU15WGSR_06012022124524_80107959,No,XOU15WGSR
2339080,Samsung,RF23R6301**,,,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,Yes,70.0,35.8,22.5,27.7,699,732.0,5.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,Smart Energy Profile (SEP) 2.x,Yes,06/19/2019,05/21/2019,"United States, Canada",ES_1023593_RF23R6301**_05312019011148_6666666_,No,RF23R6301..
2199861,Samsung,RF260B*AE**,,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,No,70.0,35.8,25.5,31.6,620,681.0,10.0,R-134a,R-134a (GWP:1430),No,,,,,01/01/2014,12/27/2013,"United States, Canada",ES_1023593_RF260B*AE**_12292013025749_2690169,No,RF260B.AE..
2199860,Samsung,RF261BEAE**,,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,No,70.0,35.8,25.5,31.6,620,681.0,10.0,R-134a,R-134a (GWP:1430),No,,,,,01/01/2014,12/27/2013,"United States, Canada",ES_1023593_RF261BEAE**_12292013025748_2690169,No,RF261BEAE..
2199857,Samsung,RF263B*AE**,,,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.0,35.8,24.6,30.7,637,759.0,18.0,R-134a,R-134a (GWP:1430),No,,,,,01/01/2014,12/27/2013,"United States, Canada",ES_1023593_RF263B*AE**_12292013025745_2690169,No,RF263B.AE..
2290466,Samsung,RF265B*AE**,,,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.0,35.8,24.2,30.3,720,756.0,5.0,R-134a,R-134a (GWP:1430),Yes,Wi-Fi,Yes,Smart Energy Profile (SEP) 2.x,Yes,03/03/2017,02/07/2017,"United States, Canada",ES_1023593_RF265B*AE**_02102017033921_70120535,No,RF265B.AE..
2380753,Twin Eagles,TEOR242-G,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,34.0,24.0,5.0,5.0,199,305.0,35.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,03/22/2021,06/23/2021,"United States, Canada",ES_Marvel Refrigeration_TEOR242-G_061120211417455_6888292,Yes,TEOR242-G
