Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Cycle_Settings_for_Energy_Test_Cycle___Program_Cycle_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Temperature_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Dryness_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Other_Optional_Cycle_Settings_in_the_As_Shipped_Position__If_Applicable__s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18IAI8AG5,WED560LH**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG10,WED6620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG11,MED8630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG11,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14ABH3BG1,MED4100D**,7.3,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy saver,No,No
Whirlpool,Vented Gas,A15VAN2AI0,WGD9500E**,9.2,,20110.0,Yes,3.48,EcoBoost / Mixed + Normal,High,Mid-Point,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18CBL7AG0,MED8230H**,8.8,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18CAL8AG0,WED8120H**,8.8,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG6,MED5500F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG7,MED3500F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG7,MED8200F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG8,MED5500F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16XAI4BG5,WED7590F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16XAI4BG7,WED7590F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H18JAI8AB3,WHD560CH**,7.4,240.0,,Yes,5.2,Regular + Normal,High,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG8,WED92HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG6,WED7120H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG9,WED90HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG9,WED92HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG9,WED8540F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18IAI8AG8,WED560LH**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG10,WED75HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,Vented Gas,A18BAI8AI2,WGD7120H**,7.4,,20246.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18BAI8AI2,WGD8127L**,7.4,,20246.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG10,WED90HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG10,WED8540F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Maytag,Vented Gas,A18JBH7AI6,MGD5630H**,7.3,,20219.0,Yes,3.48,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18GAI9AG2,WED9620H**,7.4,240.0,,Yes,3.93,REGULAR / NORMAL,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG7,WED8127L**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H16AAI4BB3,WED7990F**,7.4,240.0,,Yes,4.5,Eco/Normal,Medium,Normal,Eco,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7100*,DLE7005*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX7601*E,DLGX7481*E,7.3,,20000.0,Yes,3.49,Normal,Med. high,Normal,,No,No
LG,Vented Gas,DLGX3701*,DLGX4081*,7.4,,20000.0,Yes,3.49,Normal,. * Temp. Level 4 (.),Normal,,No,No
LG,Vented Gas,DLGX8901*,DLGX8901*,9.0,,20000.0,Yes,3.49,Normal,* Temp. Level 4 (.),* Dry Level 3 (.),,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7200*E,DLE7400*E,7.3,240.0,,Yes,3.94,Normal,Med. high,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,6177#,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
Kenmore,Vented Gas,7143#,7143#,7.3,,20000.0,Yes,3.48,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",8178#,8178#,7.4,240.0,,Yes,3.93,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX5000*,8139#,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
Kenmore,Vented Gas,DLGX7601*E,7155#,7.3,,20000.0,Yes,3.49,Normal,Medium,Medium,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",8159####,8159#,7.3,240.0,,Yes,4.3,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",6146####,6146#,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",6142####,6142#,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DLHC1455*,DLHC1455*,4.2,240.0,,Yes,6.4,Normal,None,Normal,,No,No
LG,Vented Gas,DLGX3901*,WSGX201H*A,7.4,,20000.0,Yes,3.49,Normal,. * Temp. Level 4 (.),* Temp. Level 3 (.),,No,No
LG,Vented Gas,DLG7101*,DLG7151*,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX3901*,DLGX4201*,7.4,,20000.0,Yes,3.49,Normal,. * Temp. Level 4 (.),Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,DLEX4200*,7.4,240.0,,Yes,3.94,Normal,. * Temp. Level 4 (.),Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE3500*,DLE3600*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX3901*,DLG3401*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLG7101*,DLG7061*E,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE3500*,DLE3460*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,DLEX4500*,7.4,240.0,,Yes,3.94,Normal,Mid. High,Normal,,No,No
LG,Vented Gas,DLG7101*,DLGX7801*E,7.3,,20000.0,Yes,3.49,Normal,Mid. High,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7100*,DLEX7250*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7200*E,DLEX7300*E,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE3500*,DLE3095*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLG3501*,DLG3501*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3700*,DLEX3700*,7.4,240.0,,Yes,3.94,Normal,Med. High,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,DLEX3900*,7.4,240.0,,Yes,3.94,Normal,Med. High,Normal,,No,No
LG,Vented Gas,DLGX7601*E,DLGY1902*E,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7200*E,DLEX7200*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX5001*,DLGX5006*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4370*,DLEX4370*,7.4,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX4271*,DLGX4371*,7.4,,20000.0,Yes,3.49,Cotton/Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLEX4370*,7.4,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX7600*E,DLEX7600*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX7600*E,DLEX7600*E,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX4271*,DLGX5781*E,7.3,,20000.0,Yes,3.49,Cotton/Normal,Medium,Normal dry,,No,No
LG,Vented Gas,DLGX4271*,DLG3171*,7.4,,20000.0,Yes,3.49,Cotton/Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLEY1701*E,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX5000*,DLEX5010*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX5000*,DLEX5000*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLE1501*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
Frigidaire,Vented Gas,EFMG617****,FDGX22E4EW,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,,No,No
Electrolux,Vented Gas,EFMG617****,ELFG7337***,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,,No,No
Electrolux,Vented Gas,EFMG617****,ELFG7437***,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,,No,No
Electrolux,"Vented Electric, Standard (4.4 ft3 or greater capacity)",ELFE7537***,ELFE7337***,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,,No,No
Electrolux,"Vented Electric, Standard (4.4 ft3 or greater capacity)",ELFE7537***,ELFE7437***,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,,No,No
Frigidaire,"Vented Electric, Standard (4.4 ft3 or greater capacity)",EFDE317****,FDEX21E4EW,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,Eco,No,No
Electrolux,Vented Gas,EFMG617****,EFMG527****,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,Eco,No,No
Electrolux,"Vented Electric, Standard (4.4 ft3 or greater capacity)",EFME617****,EFME527****,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,Eco,No,No
Electrolux,Vented Gas,EFMG617****,EFDG317****,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,Eco,No,No
Midea,Vented Gas,MDD200-VG062/F01-US13,MLG45N3BWW,7.5,,20000.0,Yes,3.3,Normal,Medium,Normal Dry,Eco Dry,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV52J806*E*,DV52J806*E*,7.4,240.0,,Yes,3.94,75 min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DV48J777*G*,DV48J777*G*,7.4,,22000.0,Yes,3.49,75 min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV50K86**E*,DV50K86**E*,7.4,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DV50K86**G*,DV50K86**G*,7.4,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DV45K76**G*,DV45K76**G*,7.4,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV45K65**E*,DV45K65**E*,7.5,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV45K62**E*,DV45K62**E*,7.5,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DV45K62**G*,DV45K62**G*,7.5,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45M55***,DVE45M55***,7.5,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE54M87***,DVE54M87***,7.4,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE55M96***,DVE55M96***,7.5,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE60M99***,DVE60M99***,7.5,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG55M96***,DVG55M96***,7.5,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG54M87***,DVG54M87***,7.4,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG52M77***,DVG52M77***,7.4,,22000.0,Yes,3.49,75min,medium,normal dry,Eco Dry On,No,No
SAMSUNG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DV45K71**E*,DV45K71**E*,7.4,240.0,,Yes,3.94,75min,medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE54R72***,DVE54R72***,7.4,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45R63***,DVE45R63***,7.5,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE52T76***,DVE52T76***,7.4,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE45T6005*,DVE45T6005*,7.5,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG50A88***,DVG50A88***,7.5,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG50A86***,DVG50A86***,7.5,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG50A85***,DVG50A85***,7.5,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG60A99***,DVG60A99***,7.5,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG55A77***,DVG55A77***,7.4,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE52B76***,DVE52B76***,7.4,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG53BB87***,DVG53BB87***,7.6,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,Vented Gas,DVG46BG65***,DVG46BG65***,7.5,,20000.0,Yes,3.48,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE46BB67***,DVE46BB67***,7.5,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50BG83***,DVE50BG83***,7.5,240.0,,Yes,3.93,Normal cycle,Medium,normal dry,Eco Dry On,No,No
Samsung,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DV25B69**H*,DV25B69**H*,4.0,240.0,,Yes,3.08,Normal cycle,Medium,normal dry,,No,No
SUMMIT,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",SLD242W,SLD242W****,4.2,240.0,,Yes,3.0,Cotton Standard,N/A,Medium,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H16AAI4BB4,WED7990F**,7.4,240.0,,Yes,4.5,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,Vented Gas,A18JAI8AI5,WGD8620H**,7.4,,20142.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI5,WGD6620H**,7.4,,20142.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG13,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,Vented Gas,A16VBN5AI2,MGDB955F**,9.2,,20198.0,Yes,3.48,Normal / Energy Saver,High,Normal,Energy Saver,No,No
Whirlpool,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",H16OAO6AK0,WHD5090G**,4.3,240.0,,Yes,3.71,"Normal, High Heat, Normal / Dry - Dryness Level, Conductivity Level (3)",High,Normal / Dry,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG13,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JDI7AG3,NED5800H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,Eco Dry,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A20BCI8AG0,6165*20*,7.4,240.0,,Yes,3.93,Mixed + Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18IAI8AG3,WED560LH**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG1,WED7120H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18IAI8AI1,WGD560LH**,7.4,,20209.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG5,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18JBH7AI5,MGD6630H**,7.3,,20055.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,Vented Gas,A22JBI7AI0,MGD6630M**,7.4,,20379.0,Yes,3.48,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG0,WED8620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,Vented Gas,A18JBH7AI5,MGD5630H**,7.3,,20055.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG6,MED8630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",C19OAV10EK0,WCD3090J**,4.3,240.0,,Yes,2.68,Normal,Non-Adjustable,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG1,WED8620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG4,WED8620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG2,WED6620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG2,WED5620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG4,WED6620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG4,WED5620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG4,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18IAI8AG2,WED560LH**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18GAI9AI0,WGD9620H**,7.4,,20162.0,Yes,3.48,REGULAR / NORMAL,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CAL2AG13,WED8500D**,8.8,240.0,,Yes,3.93,EcoBoost/Normal,High,Mid-point,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI3,WGD8620H**,7.4,,20114.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI3,WGD6620H**,7.4,,20114.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI6,WGD6620H**,7.4,,20014.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI6,WGD5620H**,7.4,,20014.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18GAI9AG1,WED9620H**,7.4,240.0,,Yes,3.93,REGULAR / NORMAL,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI1,WGD6620H**,7.4,,20176.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG7,WED8620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI2,WGD6620H**,7.4,,20013.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18JAI8AI2,WGD5620H**,7.4,,20013.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG7,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG7,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18IAI8AG4,WED560LH**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG1,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG1,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG8,WED8620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG2,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG3,MED8630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG3,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18JBH7AI0,MGD5630H**,7.3,,20085.0,Yes,3.48,Normal,High,Normal,,No,No
