Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Cycle_Settings_for_Energy_Test_Cycle___Program_Cycle_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Temperature_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Dryness_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Other_Optional_Cycle_Settings_in_the_As_Shipped_Position__If_Applicable__s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG5,WED7120H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H18JAI8AB0,WHD560CH**,7.4,240.0,,Yes,5.2,Regular + Normal,High,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A15VAN2AG1,WED9500E**,9.2,240.0,,Yes,3.93,EcoBoost / Mixed + Normal,High,Mid-Point,EcoBoost,No,No
Maytag,Vented Gas,A18CBL7AI0,MGD8230H**,8.8,,20562.0,Yes,3.48,Normal,High,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16VCN5AG3,6163*61,9.2,240.0,,Yes,3.93,Normal / Energy Saver,High,Normal,Energy saver,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16VCN5AG4,6163*61,9.2,240.0,,Yes,3.93,Normal / Energy Saver,High,Normal,Energy Saver,No,No
Kenmore,Vented Gas,A16VCN5AI1,7163*61,9.2,,20410.0,Yes,3.48,Normal / Energy Saver,High,Normal,Energy Saver,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18IAI8AG7,WED560LH**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG12,MED8630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG6,MED3500F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG7,MED5500F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16XAI4BG4,WED7590F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG12,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG8,WED7505F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG8,WED7540F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG12,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI7AG7,MED7230H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,,No,No
