Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Summit,(17.) Compact upright freezers with automatic defrost,BD-100CT,SPFF2D24OS***,6.2,355.0,3.5,No,No,By annual report date
Summit,(17.) Compact upright freezers with automatic defrost,BD-100CT,ADFD2D24***,6.2,355.0,3.5,No,No,By annual report date
Summit,(17.) Compact upright freezers with automatic defrost,BD78/H,SCFF1842***,4.8,346.0,2.7,No,No,https://eguides.fsiworldwide.com/label/316.pdf
Summit,(13A.) Compact all-refrigerators - automatic defrost,SPR3032D,ADRD30SS**,5.4,305.0,5.4,No,No,By annual report date
Summit,(13A.) Compact all-refrigerators - automatic defrost,SPR3032D,ADRD30**,5.4,305.0,5.4,No,No,By annual report date
Summit,(13A.) Compact all-refrigerators - automatic defrost,SPR275OS2D,ADRD27***,4.8,303.0,4.8,No,No,By annual report date
Summit,(13A.) Compact all-refrigerators - automatic defrost,SPR275OS2D,SPR275OS2D***,4.8,303.0,4.8,No,No,By annual report date
Summit,(17.) Compact upright freezers with automatic defrost,ALFZ51,SCFF54CSS***,7.0,380.0,4.0,No,No,By annual report date
Summit,(17.) Compact upright freezers with automatic defrost,ALFZ51,SPFF54OS***,7.0,380.0,4.0,No,No,By annual report date
GLADIATOR,(3A.) All-refrigerators - automatic defrost,6w3ab80-05,GARF30FDGB**,17.8,293.0,17.8,No,No,https://www.whirlpool.com/services/manuals.html
MAYTAG,(9.) Upright freezers with automatic defrost without an automatic icemaker,4w9j81-15,MZF34X18F***,31.2,496.0,17.7,No,No,https://www.whirlpool.com/services/manuals.html
AMANA,(9.) Upright freezers with automatic defrost without an automatic icemaker,4w9j81-15,AZF33X18D*,31.2,496.0,17.7,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3A.) All-refrigerators - automatic defrost,4w3aj80-07,WRF57R18D*,17.7,326.0,17.7,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3A.) All-refrigerators - automatic defrost,4w3aj80-07,WSR57R18D*,17.7,326.0,17.7,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3ig80-53,WRT108FFD***,22.0,495.0,18.2,No,No,https://www.whirlpool.com/services/manuals.html
MAYTAG,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3ig80-53,MRT118FFF***,22.0,495.0,18.2,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3g80-53,WRT318FZD***,22.0,411.0,18.2,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3g80-53,WRT108FZD*0*,22.0,411.0,18.2,No,No,https://www.whirlpool.com/services/manuals.html
MAYTAG,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3g80-53,MRT118FFF***,22.0,411.0,18.2,No,No,https://www.whirlpool.com/services/manuals.html
AMANA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3g80-53,ART318FFD*,22.0,411.0,18.2,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3g12-43,WRT311FZD*,25.1,436.0,20.5,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,6w3n80-31,WRT518SZKV***,20.7,400.0,17.6,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,6w3in80-31,WRT518SZKV***,20.7,484.0,17.6,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,6w3in80-31,WRT518SZF***,20.7,484.0,17.6,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,5w3n80-17,WRT138FZD*,22.1,370.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,5w3in80-17,WRT138FZD*,22.1,455.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,5w3n80-17,WRT138FFD***,22.1,370.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,5w3in80-17,WRT138FFD***,22.1,455.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n10-17,WRT541SZH*0*,26.0,399.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html
Beko,(9.) Upright freezers with automatic defrost without an automatic icemaker,F70420NE,BUFR2715WH,25.1,305.0,14.3,No,No,https://www.beko.com/us-en
Beko,(9.) Upright freezers with automatic defrost without an automatic icemaker,F70420NE,BUFR2715MG,25.1,305.0,14.3,No,No,https://www.beko.com/us-en
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij51-08,KRFF305E****,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html
CONTOURE,(11A.) Compact all-refrigerators - manual defrost,WMS017M6XBE,RD-175BK,1.6,208.0,1.6,No,No,By annual report date
Arctic Wind,(11A.) Compact all-refrigerators - manual defrost,WMS017M6XBE,2AW1BF16A,1.6,208.0,1.6,No,No,https://arcticwindac.com/energy-guides.html
Hisense,(11A.) Compact all-refrigerators - manual defrost,WMS017M6XBE,RC16C1GBE,1.6,208.0,1.6,No,No,https://www.hisense-canada.com/en/home-appliances/all-refrigerators/
Hisense,(11A.) Compact all-refrigerators - manual defrost,WMS017M6XBE,WMS017M6XBE,1.6,208.0,1.6,No,No,https://www.hisense-usa.com/support/ [hisense-usa.com]
ICECO,(11A.) Compact all-refrigerators - manual defrost,VL60GDN,VL60GDN,2.1,199.0,2.1,No,No,https://cdn.shopify.com/s/files/1/0053/1536/2906/files/VL60GDN.jpg?v=1658389456
ICECO,(11A.) Compact all-refrigerators - manual defrost,VL45GSN,VL45GSN,1.6,127.0,1.6,No,No,https://cdn.shopify.com/s/files/1/0053/1536/2906/files/VL45GSN.jpg?v=1658389567
ICECO,(11A.) Compact all-refrigerators - manual defrost,JP50BGN,JP50BGN,1.8,176.0,1.8,No,No,https://cdn.shopify.com/s/files/1/0053/1536/2906/files/JP50BGN.jpg?v=1658389567
SetPower,(11A.) Compact all-refrigerators - manual defrost,X50,X50,1.8,121.0,1.8,No,No,https://cdn.shopify.com/s/files/1/0384/5554/1900/files/X50_e6dbeb73-f47b-4dd1-abcd-1d76adb9b0df.jpg?v=1658397924
SetPower,(11A.) Compact all-refrigerators - manual defrost,TC65,TC65,2.3,134.0,2.3,No,No,https://cdn.shopify.com/s/files/1/0384/5554/1900/files/TC65_720bf2eb-875f-499c-8623-5841113b35d9.jpg?v=1658397924
