Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-19,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-19,KBFS20EC*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html
Beko,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,G91629NW,BFFD3624ZSS,24.9,566.0,19.9,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,RFR320-LIME-COM,3.2,219.0,3.2,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,RFR320-PURPLE-COM,3.2,219.0,3.2,No,No,By annual report date
RCA,(10.) Chest freezers and all other freezers except compact freezers,BD-282,RFRF1050_AMZ,17.6,233.0,10.0,No,No,By annual report date
RCA,(10.) Chest freezers and all other freezers except compact freezers,BD-282,RFRF1049-B,17.6,233.0,10.0,No,No,By annual report date
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7w7P40-21,WRS325SDH*0*,31.5,702.0,24.6,No,No,https://www.whirlpool.com/services/manuals.html
KENMORE,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7w7P41-20,5004*71*,31.5,702.0,24.6,No,No,https://www.kenmore.com/energyguide/
KITCHENAID,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,9w700-01,KRSC700*****,25.1,647.0,19.8,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,9w700-01,WRS970CIH***,25.1,647.0,19.8,No,No,https://www.whirlpool.com/services/manuals.html
THOMSON TM,(18.) Compact chest freezers,BD-200YC,TFRF710-G-SM,12.3,250.0,7.0,No,No,By annual report date
FRIGIDAIRE,(18.) Compact chest freezers,BD-150YC,EFRF5003,8.8,216.0,5.0,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-127-E,EFR451-COM,5.5,368.0,4.5,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-127-E,EFR451-C,5.5,368.0,4.5,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-127-E,RFR469,5.5,368.0,4.5,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-127-E,RFR469-COM,5.5,368.0,4.5,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-127-E,RFR459,5.5,368.0,4.5,No,No,By annual report date
GINNY,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,FR391-BLACKSS-GB,3.9,322.0,3.2,No,No,By annual report date
Montgomery Ward,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,FR871-MW-MRED,3.9,322.0,3.2,No,No,By annual report date
Montgomery Ward,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,FR871-MW-MBLACK,3.9,322.0,3.2,No,No,By annual report date
GINNY,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,FR840-GB-RED,3.9,322.0,3.2,No,No,By annual report date
GINNY,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,FR840-GB-BLACK,3.9,322.0,3.2,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,EFR840-BLACK,3.9,322.0,3.2,No,No,By annual report date
FRIGIDAIRE,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,EFR840-BLACK-COM,3.9,322.0,3.2,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,RFR836-D,3.9,322.0,3.2,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,RFR834,3.9,322.0,3.2,No,No,By annual report date
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,RFR835-BLACK,3.9,322.0,3.2,No,No,By annual report date
THOMSON,(11A.) Compact all-refrigerators - manual defrost,BC-128-E,TFR441,4.5,252.0,4.5,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-128-E,EFR494-BLACK,4.5,252.0,4.5,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,RFR335-COM,3.2,219.0,3.2,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,RFR329-RED,3.2,219.0,3.2,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,EFR372-B-RED,3.2,219.0,3.2,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,EFR372-MINT,3.2,219.0,3.2,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,EFR372-MINT-COM,3.2,219.0,3.2,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,EFR372-BLUE-COM,3.2,219.0,3.2,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,EFR372-PINK-COM,3.2,219.0,3.2,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,EFR372-WHITE-COM,3.2,219.0,3.2,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,RFR160-B-PURPLE,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR177-BLUE,1.6,208.0,1.6,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,RFR176-RED,1.6,208.0,1.6,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,RFR176-BLACK,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR177-BLACK,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR176-RED-COM,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR176-BLUE-COM,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR107-BLACK,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR115-PURPLE-COM,1.6,208.0,1.6,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,RFR115-B-BLACK,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR180-COM,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR115-BLUE-COM,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-46-E,EFR115-RED-COM,1.6,208.0,1.6,No,No,By annual report date
FRIGIDAIRE,(10.) Chest freezers and all other freezers except compact freezers,UL-BD249-D,EFRF9003,15.1,214.0,8.6,No,No,By annual report date
SUMMIT,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FFBF279SSX,FFBF279SSX,17.6,423.0,14.6,No,No,https://www.summitappliance.com/energy_guide/6158.pdf
Hisense,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,HRM145N6AVD,RF15A4C*E,18.8,483.0,14.8,No,No,https://www.hisense-canada.com/en/home-appliances/all-refrigerators/
Frigidaire,(10.) Chest freezers and all other freezers except compact freezers,HS-933CEN,FFCL2542AW,43.8,426.0,24.9,No,No,https://energyguide.electrolux-na.com/
Sub-Zero,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,DEC2450FI/*,DEC2450FI/L,21.8,512.0,12.4,No,No,https://haven.subzero.com/AssetLink/uj6h2mb338xb46vbi538j650ntwfh6n6.pdf
Sub-Zero,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,DEC2450FI/*,DEC2450FI/R,21.8,512.0,12.4,No,No,https://haven.subzero.com/AssetLink/uj6h2mb338xb46vbi538j650ntwfh6n6.pdf
