Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
KitchenAid,Standard size dishwasher,KDFE104D***-07,KDFE104D***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDFE104D...
Whirlpool,Standard size dishwasher,WDTA50SAK**-04,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT750SAK..
KitchenAid,Standard size dishwasher,KDFE104D***-08,KDFE104D***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDFE104D...
KitchenAid,Standard size dishwasher,KDFE104H***-03,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDFE104H...
KitchenAid,Standard size dishwasher,KDFE104H***-04,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDFE104H...
KitchenAid,Standard size dishwasher,KDFE104H***-05,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDFE104H...
KitchenAid,Standard size dishwasher,KDFE104K***,KDTE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDTE104K...
Whirlpool,Standard size dishwasher,WDTA75SAH**,WDTA75SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDTA75SAH..
KitchenAid,Standard size dishwasher,KDFE104K***-01,KDTE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDTE104K...
KitchenAid,Standard size dishwasher,KDFE104K***-02,KDTE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDTE104K...
Amana,Standard size dishwasher,ADB1500AD**-01,ADB1500AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1500AD..
KitchenAid,Standard size dishwasher,KDFE204K***-02,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDFE204K...
KitchenAid,Standard size dishwasher,KDFE204K***-03,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDFE204K...
Maytag,Standard size dishwasher,MDB7959SK**-04,MDB7959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html,MDB7959SK..
KitchenAid,Standard size dishwasher,KDFE204K***-03,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDTE204K...
KitchenAid,Standard size dishwasher,KDFE204K***-04,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDTE204K...
KitchenAid,Standard size dishwasher,KDFE204K***-05,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDFE204K...
KitchenAid,Standard size dishwasher,KDFE204K***-05,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDTE204K...
KitchenAid,Standard size dishwasher,KDPM354G***,KDPM354G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDPM354G...
Maytag,Standard size dishwasher,MDB8969SD**-06,MDB4949SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html,MDB4949SD..
KitchenAid,Standard size dishwasher,KDTE304G***-02,KDPE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDPE204G...
Maytag,Standard size dishwasher,MDB8969SD**-06,MDB5969SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html,MDB5969SD..
Maytag,Standard size dishwasher,MDB8969SD**-07,MDB5969SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html,MDB5969SD..
Maytag,Standard size dishwasher,MDB8969SD**-07,MDB7949SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html,MDB7949SD..
Maytag,Standard size dishwasher,MDB8979SE**-04,MDB8959SF**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html,MDB8959SF..
Maytag,Standard size dishwasher,MDB8979SE**-04,MDB8979SE**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html,MDB8979SE..
Amana,Standard size dishwasher,ADB1500AD**-03,ADB1500AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1500AD..
KitchenAid,Standard size dishwasher,KDTE304G***-02,KDPE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDPE234G...
Maytag,Standard size dishwasher,MDB8989SH**,MDB8989SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html,MDB8989SH..
KitchenAid,Standard size dishwasher,KDTE304G***-02,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE204G...
KitchenAid,Standard size dishwasher,KDTE304G***-03,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE204G...
Amana,Standard size dishwasher,ADB1700AD**-02,ADB1700AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1700AD..
Amana,Standard size dishwasher,ADB1700AD**-03,ADB1700AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1700AD..
