ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Width (inches),Depth (inches),Capacity - Maximum Number of Place Settings,Soil-Sensing Capability,Tub Material,Drying Method,Additional Product Features,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2279007,Miele,G 6875 SCVi,,4002515717042;4002515723272,Standard,,,,,,,,199,307.0,35.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6875 SCVi_09122016020545_70097737,Yes,G 6875 SCVi
2279008,Miele,G 6875 SCVi SF,,4002515717059,Standard,,,,,,,,199,307.0,35.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,United States,ES_0031629_G 6875 SCVi SF_09122016020545_70097737,Yes,G 6875 SCVi SF
2279009,Miele,G 6880 SCVi,,4002515717097,Standard,,,,,,,,199,307.0,35.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,United States,ES_0031629_G 6880 SCVi_09122016020545_70097737,Yes,G 6880 SCVi
2279010,Miele,G 6885 SCVi,,4002515717066,Standard,,,,,,,,199,307.0,35.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,United States,ES_0031629_G 6885 SCVi_09122016020545_70097737,Yes,G 6885 SCVi
2255035,Miele,G 6915 SCi,,4002515546529;4002515546888,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6915 SCi_12162015020838_70057049,No,G 6915 SCi
2279011,Miele,G 6935 SCi,,4002515723289;4002515717073,Standard,,,,,,,,199,307.0,35.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6935 SCi_09122016020545_70097737,Yes,G 6935 SCi
2255036,Miele,G 6985 SCVi,,4002515546895;4002515546536,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6985 SCVi_12162015020838_70057049,No,G 6985 SCVi
2255037,Miele,G 6985 SCVi SF,,4002515546543,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 6985 SCVi SF_12162015020838_70057049,No,G 6985 SCVi SF
2279012,Miele,G 6987 SCVi,,4002515723296;4002515717080,Standard,,,,,,,,199,307.0,35.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6987 SCVi_09122016020545_70097737,Yes,G 6987 SCVi
2384336,Miele,G 7166 SCVi,,4002516514282,Standard,,,,,,,,230,307.0,25.0,3.2,5.0,36.0,No,,,,,01/01/2022,09/15/2021,United States,ES_0031629_G 7166 SCVi_09162021102247_80097444,Yes,G 7166 SCVi
2508385,Miele,G 7166 SCVi,,4002516514282,Standard,23.6,21.8,16.0,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",230,307.0,25.0,3.2,5.0,36.0,No,,,,,01/01/2022,06/15/2023,United States,ES_0031629_G 7166 SCVi_06152023121128_80173476,Yes,G 7166 SCVi
2384337,Miele,G 7166 SCVi SFP,,4002516514350,Standard,,,,,,,,230,307.0,25.0,3.2,5.0,36.0,No,,,,,01/01/2022,09/15/2021,United States,ES_0031629_G 7166 SCVi SFP_09162021102247_80097444,Yes,G 7166 SCVi SFP
2508386,Miele,G 7166 SCVi SFP,,4002516514350,Standard,23.6,21.8,16.0,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",230,307.0,25.0,3.2,5.0,36.0,No,,,,,01/01/2022,06/15/2023,United States,ES_0031629_G 7166 SCVi SFP_06152023121128_80173476,Yes,G 7166 SCVi SFP
2384338,Miele,G 7176 SCVi SF,,4002516548485,Standard,,,,,,,,230,307.0,25.0,3.2,5.0,36.0,No,,,,,01/01/2022,09/15/2021,United States,ES_0031629_G 7176 SCVi SF_09162021102247_80097444,Yes,G 7176 SCVi SF
2508387,Miele,G 7176 SCVi SF,,4002516548485,Standard,23.6,21.8,16.0,Yes,Stainless Steel,"Automatic Door Release,Condensation Dry,Fan-Assisted Dry","Top Controls,Cycle Status Lights,Third Rack",230,307.0,25.0,3.2,5.0,36.0,No,,,,,01/01/2022,06/15/2023,United States,ES_0031629_G 7176 SCVi SF_06152023121128_80173476,Yes,G 7176 SCVi SF
2391864,OMNImax,3719-074,,822733379587,Standard,,,,,,,,249,307.0,19.0,3.5,5.0,30.0,No,,,,,01/15/2022,01/28/2022,Canada,ES_1136068_3719-074_012620220206360_6539994,No,3719-074
2470960,OMNImax,3719-074,,822733379587,Standard,23.9,24.5,8.0,Yes,Stainless Steel,Heated Dry,None,240,307.0,22.0,3.2,5.0,36.0,No,,,,,04/10/2023,05/02/2023,Canada,ES_1136068_3719-074_050220230022303_7599003,Yes,3719-074
2391863,OMNImax,3719-075,,822733379594,Standard,,,,,,,,249,307.0,19.0,3.5,5.0,30.0,No,,,,,01/15/2022,01/28/2022,Canada,ES_1136068_3719-075_012620220206626_1211600,No,3719-075
2470961,OMNImax,3719-075,,822733379594,Standard,23.9,24.5,8.0,Yes,Stainless Steel,Heated Dry,None,240,307.0,22.0,3.2,5.0,36.0,No,,,,,04/10/2023,05/02/2023,Canada,ES_1136068_3719-075_050220230023114_7817138,Yes,3719-075
2320409,Panasonic,NP-6F1FFHCA,,885170347267,Standard,,,,,,,,249,307.0,19.0,3.5,5.0,30.0,No,,,,,05/17/2018,04/24/2018,Canada,ES_1141774_NP-6F1FFHCA_05242018125148_70178797,No,NP-6F1FFHCA
2351539,Porter & Charles,VE-DWVFI,,0798190150659,Standard,,,,,,,,260,307.0,15.0,3.4,5.0,32.0,No,,,,,03/01/2020,12/18/2019,Canada,ES_1123029_VE-DWVFI_12182019175130_1490422,No,VE-DWVFI
2389700,Porter & Charles,VE-DWVFI18,,,Standard,,,,,,,,260,307.0,15.0,3.4,5.0,32.0,No,,,,,01/01/2022,12/23/2021,Canada,ES_1123029_VE-DWVFI18_121720210647494_9089315,No,VE-DWVFI18
2389699,Porter & Charles,VE-DWVFI82,,,Standard,,,,,,,,260,307.0,15.0,3.4,5.0,32.0,No,,,,,01/01/2022,12/23/2021,Canada,ES_1123029_VE-DWVFI82_121720210647641_8256798,No,VE-DWVFI82
2389701,Porter & Charles,VE-DWVSS,,,Standard,,,,,,,,260,307.0,15.0,3.4,5.0,32.0,No,,,,,01/01/2022,12/23/2021,Canada,ES_1123029_VE-DWVSS_121720210647273_8881990,No,VE-DWVSS
2376430,RCA,RDW1809-B-WHITE,,58465805104,Standard,,,,,,,,240,307.0,22.0,3.5,5.0,30.0,No,,,,,02/26/2020,02/24/2020,"United States, Canada",ES_1120898_RDW1809-B-WHITE_03262020041813_80029765,No,RDW1809-B-WHITE
2358415,Samsung,DW50T6060**,,"887276412665;
887276412658",Standard,,,,,,,,259,307.0,16.0,3.4,5.0,32.0,No,,,,,04/17/2020,04/23/2020,"United States, Canada",ES_1023593_DW50T6060**_04232020134047_9247222,No,DW50T6060..
2507681,Samsung,DW50T6060**,",,Remark: * could be A-Z, a-z, 0-9, - or blank.",887276412658;887276412665,Standard,17.7,22.4,8.0,Yes,Stainless Steel,Air Dry,None,240,307.0,22.0,3.2,5.0,36.0,No,,,,,05/10/2023,05/31/2023,"United States, Canada",ES_1023593_DW50T6060**_053120230316233_3269455,Yes,DW50T6060..
2331225,Samsung,DW60R2014**,,887276303536,Standard,,,,,,,,265,307.0,14.0,3.5,5.0,30.0,No,,,,,12/08/2018,12/11/2018,"United States, Canada",ES_1023593_DW60R2014**_12112018133036_5036096,No,DW60R2014..
2507682,Samsung,DW60R2014**,",,Remark: * could be A-Z, a-z, 0-9, - or blank",887276303529;887276303536,Standard,23.6,22.4,8.0,Yes,Stainless Steel,Air Dry,None,240,307.0,22.0,3.2,5.0,36.0,No,,,,,05/10/2023,05/31/2023,"United States, Canada",ES_1023593_DW60R2014**_053120230335599_3455295,Yes,DW60R2014..
2339119,Samsung,DW60R2014AP,,887276303529,Standard,,,,,,,,265,307.0,14.0,3.5,5.0,30.0,No,,,,,05/21/2019,06/01/2019,"United States, Canada",ES_1023593_DW60R2014AP_06022019014259_9779038,No,DW60R2014AP
2388107,Samsung,DW80B6060**,,887276616384;887276616391,Standard,,,,,,,,239,307.0,22.0,3.2,5.0,36.0,No,,,,,03/04/2022,11/03/2021,"United States, Canada",ES_1023593_DW80B6060**_11152021114259_80104263,Yes,DW80B6060..
