Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx50(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4855H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx50(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4955H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx51(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4855H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx51(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4955H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx52(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4855H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx54(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4855H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx55(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4855H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx54(3B),WTW4655J**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4655J..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15AAA43(3B),WFW81HED*+,4.2,2.75,3.2,29.2,No,No,http://www.whirlpool.com/manuals,WFW81HED.+
Admiral,"Top-loading, standard (1.6 ft3 or greater capacity)",V18nFh50(3B),ATW4516H**,3.5,1.57,6.5,44.3,No,No,http://www.whirlpool.com/manuals,ATW4516H..
