Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s
Samsung,UN58CU7000F,58.0,69.0,0.5,1.5,,136.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un58cu7000fxza-energylabel.pdf,No
Samsung,UN50CU7000D,50.0,63.0,0.5,1.5,,125.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un50cu7000dxza-energylabel.pdf,No
Samsung,UN50CU7000F,50.0,63.0,0.5,1.5,,125.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un50cu7000fxza-energylabel.pdf,No
Samsung,UN43CU7000B,43.0,55.0,0.5,1.5,,111.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un43cu7000bxza-energylabel.pdf,No
Samsung,UN43CU7000D,43.0,55.0,0.5,1.5,,111.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un43cu7000dxza-energylabel.pdf,No
Samsung,UN65TU690TF,65.0,73.0,0.5,1.5,,144.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un65tu690tfxza-energylabel.pdf,No
Samsung,UN55TU690TF,55.0,60.0,0.5,1.5,,120.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un55tu690tfxza-energylabel.pdf,No
Samsung,UN43TU690TF,43.0,60.0,0.5,1.5,,120.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un43tu690tfxza-energylabel.pdf,No
Samsung,UN50TU690TF,50.0,66.0,0.5,1.5,,131.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un50tu690tfxza-energylabel.pdf,No
Samsung,UN75TU690TF,75.0,94.0,0.5,1.5,,182.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un75tu690tfxza-energylabel.pdf,No
