Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Sea Breeze,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",STW410AYRE,STW410AYRE,10000.0,940.0,10.6,No,No,https://irpsales.com/?page_id=4651,STW410AYRE
Sea Breeze,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",STW412AYRE,STW412AYRE,12000.0,1140.0,10.5,No,No,https://irpsales.com/?page_id=4651,STW412AYRE
Breeze33,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",BZ3310WAC1,BZ3310WAC1,10000.0,810.0,12.0,No,No,https://breeze33.com/air-conditioners/,BZ3310WAC1
Breeze33,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",BZ3312WAC1,BZ3312WAC1,12000.0,1000.0,12.0,No,No,https://breeze33.com/air-conditioners/,BZ3312WAC1
Breeze33,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",BZ3318WAC2-G2,BZ3318WAC2-G2,18000.0,1510.0,11.8,No,No,https://breeze33.com/air-conditioners/,BZ3318WAC2-G2
Breeze33,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BZ338TWAC1,BZ338TWAC1,8300.0,760.0,10.6,No,No,https://breeze33.com/air-conditioners/,BZ338TWAC1
Breeze33,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",BZ3312TWAC1,BZ3312TWAC1,12000.0,1140.0,10.5,No,No,https://breeze33.com/air-conditioners/,BZ3312TWAC1
Breeze33,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",BZ3312TWAC2,BZ3312TWAC2,12000.0,1140.0,10.5,No,No,https://breeze33.com/air-conditioners/,BZ3312TWAC2
Genuine Comfort,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",GCTTW-10CRA2,GCTTW-10CRA2,10000.0,940.0,10.6,No,No,https://genuinecomfort.com/resources/,GCTTW-10CRA2
Genuine Comfort,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GCTTW-12CRA1,GCTTW-12CRA1,12000.0,1140.0,10.5,No,No,https://genuinecomfort.com/resources/,GCTTW-12CRA1
Genuine Comfort,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GCTTW-12CRA2,GCTTW-12CRA2,12000.0,1140.0,10.5,No,No,https://genuinecomfort.com/resources/,GCTTW-12CRA2
Genuine Comfort,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",GCWNDW-06CRN8-BCL1,GCWNDW-06CRN8-BCL1,6000.0,490.0,12.1,No,No,https://genuinecomfort.com/resources/,GCWNDW-06CRN8-BCL1
Perfect aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",6PAC10000,6PAC10000,10000.0,820.0,12.0,No,No,https://perfectaire.us/resource_category/specs/,6PAC10000
Perfect aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",6PAC12000,6PAC12000,12000.0,990.0,12.0,No,No,https://perfectaire.us/resource_category/specs/,6PAC12000
Perfect aire,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",5PAC5000,5PAC5000,5000.0,410.0,12.1,No,No,https://perfectaire.us/resource_category/specs/,5PAC5000
