Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Whirlpool,Standard size dishwasher,WDF520PAD**-12,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Kenmore,Standard size dishwasher,1474*N***-02,1475*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
KitchenAid,Standard size dishwasher,KDTM804K***-02,KDPM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDF520PAD**-13,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-13,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-13,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-13,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDTM804K***-02,KDTM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDF520PAD**-15,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-16,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
