ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2329703,Noma,043-5240-6,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,500,No,,,,,,,,,11/01/2018,11/08/2018,Canada,ES_1129433_043-5240-6_11072018110307_70204436,No
2329700,Noma,043-5243-0,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,625,No,,,,,,,,,11/01/2018,11/08/2018,Canada,ES_1129433_043-5243-0_11072018110307_70204436,No
2329704,Noma,043-5244-8,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,11/01/2018,11/08/2018,Canada,ES_1129433_043-5244-8_11072018110307_70204436,No
2369756,Noma,043-8609-4,,819130028897,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),12.1,10,372,No,,,,,,,,,11/15/2021,11/26/2021,Canada,ES_1025242_043-8609-4_11202020122012_4812440,No
2405632,Noma,043-8814-4,,810088361951,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",Yes,Yes,R-32,R-32 (GWP:675 | Lower GWP),15,38,400,No,,,,,,,,,11/18/2022,12/14/2022,Canada,ES_1025242_043-8814-4_12092022145009_6698266,Yes
2405633,Noma,043-8815-2,,810088361968,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",Yes,Yes,R-32,R-32 (GWP:675 | Lower GWP),15,38,500,No,,,,,,,,,11/18/2022,12/14/2022,Canada,ES_1025242_043-8815-2_12092022150106_400506,Yes
2388491,Noma iQ,143-0034-0,,810088360084,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),12,10,625,No,,,,,,,,,11/15/2021,02/23/2022,Canada,ES_1025242_143-0034-0_11262021005066_4414267,No
2388492,Noma iQ,143-0035-8,,810088360091,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),12,10,750,No,,,,,,,,,11/15/2021,02/23/2022,Canada,ES_1025242_143-0035-8_112620210050706_3894166,No
2308364,Norpole,NPRAC10KEWMZ,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,625,No,,,,,,,,,12/15/2017,12/25/2017,"United States, Canada",ES_1107227_NPRAC10KEWMZ_12262017071613_2573153,No
2330432,Norpole,NPRAC10KEWMZ1,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,625,No,,,,,,,,,11/21/2018,09/30/2018,"United States, Canada",ES_1139258_NPRAC10KEWMZ1_11212018051020_70206237,No
2389269,Norpole,NPRAC10KEWMZ2,,665679017652,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,625,No,,,,,,,,,12/06/2021,12/14/2021,"United States, Canada",ES_1026218_NPRAC10KEWMZ2_121420210142584_5377535,No
2308362,Norpole,NPRAC12KEWMZ,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,750,No,,,,,,,,,12/15/2017,12/25/2017,"United States, Canada",ES_1107227_NPRAC12KEWMZ_12262017071627_2587284,No
2330433,Norpole,NPRAC12KEWMZ1,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,11/21/2018,09/30/2018,"United States, Canada",ES_1139258_NPRAC12KEWMZ1_11212018051020_70206237,No
2308360,Norpole,NPRAC15KEWMZ,,,,,,,15100,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,960,No,,,,,,,,,12/15/2017,12/25/2017,"United States, Canada",ES_1107227_NPRAC15KEWMZ_12262017071648_2608304,No
2330434,Norpole,NPRAC15KEWMZ1,,,,,,,15100,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,960,No,,,,,,,,,11/21/2018,09/30/2018,"United States, Canada",ES_1139258_NPRAC15KEWMZ1_11212018051020_70206237,No
2308358,Norpole,NPRAC6KEWMZ,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,372,No,,,,,,,,,12/15/2017,12/25/2017,"United States, Canada",ES_1107227_NPRAC6KEWMZ_12262017071707_2627201,No
2330430,Norpole,NPRAC6KEWMZ1,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,11/21/2018,09/30/2018,"United States, Canada",ES_1139258_NPRAC6KEWMZ1_11212018051020_70206237,No
