ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2404486,Frigidaire,EFR115-B-RED,"Refrigerator,EFR177-B-BLACK,",58465807306,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR115-B-RED_11142022122539_2316143,No
2404485,Frigidaire,EFR115-B-WHITE,"Refrigerator,EFR115-B-RED,",58465807276,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR115-B-WHITE_11142022122539_5145919,No
2372973,Frigidaire,EFR115-C-RED-COM,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,158,232,32,,,No,,,,,01/04/2021,01/20/2021,United States,ES_1120898_EFR115-C-RED-COM_01292021132410_6260549,Yes
2404491,Frigidaire,EFR115-C-RED-COM,"Refrigerator,EFR176-B-BLUE-COM,",58465807306,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR115-C-RED-COM_11142022122539_5945402,No
2404488,Frigidaire,EFR176-B-BLACK-COM,"Refrigerator,EFR115-B-BLACK,",58465807245,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR176-B-BLACK-COM_11142022122539_1563794,No
2404492,Frigidaire,EFR176-B-BLUE-COM,"Refrigerator,EFR177-B-BLUE,",58465807177,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR176-B-BLUE-COM_11142022122539_6405837,No
2404484,Frigidaire,EFR176-B-CORAL-COM,"Refrigerator,EFR115-B-WHITE,",58465808792,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR176-B-CORAL-COM_11142022122539_6914819,No
2404497,Frigidaire,EFR176-BLACK_AMZ,"Refrigerator,EFR176-CORAL_AMZ,",58465821982,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR176-BLACK_AMZ_11142022122539_8729148,No
2404481,Frigidaire,EFR176-B-MOONBM-COM,"Refrigerator,EFR176-B-RED-COM,",58465808808,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR176-B-MOONBM-COM_11142022122539_7564007,No
2404482,Frigidaire,EFR176-B-RED-COM,"Refrigerator,EFR180-B-COM,",58465807252,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR176-B-RED-COM_11142022122539_7434946,No
